Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Ghion,Sassuolo,2018-2019,18,Sassuolo,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Ghion,Sassuolo,2019-2020,19,Sassuolo,it ITA,1. Serie A,8th,3,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,3,0.00,0.00,0.00,0.00,0.00,0.11,0.23,0.34,0.11,0.34,Matches
Andrea Ghion,Sassuolo,2020-2021,20,Sassuolo,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Ghion,Sassuolo,2021-2022,21,Perugia,it ITA,2. Serie B,8th,12,7,499,5.5,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,10,27,2,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches
Andrea Ghion,Sassuolo,2022-2023,22,Perugia,it ITA,2. Serie B,18th,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Andrea Ghion,Sassuolo,2023-2024,23,Catanzaro,it ITA,2. Serie B,5th,21,17,1584,17.6,1,0,1,1,0,0,3,0,0.4,0.4,1.1,1.5,28,89,34,0.06,0.00,0.06,0.06,0.06,0.03,0.06,0.09,0.03,0.09,Matches
Andrea Ghion,Sassuolo,2024-2025,24,Sassuolo,it ITA,2. Serie B,1st,23,19,1407,15.6,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.0,30,89,32,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.07,0.02,0.07,Matches
Andrea Ghion,Sassuolo,2025-2026,25,Sassuolo,it ITA,1. Serie A,19th,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Andrea Ghion,Sassuolo,8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,61,43,3552,39.5,1,1,2,1,0,0,7,0,1.3,1.3,2.1,3.4,71,208,71,0.03,0.03,0.05,0.03,0.05,0.03,0.05,0.09,0.03,0.09,
Andrea Ghion,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Ghion,Sassuolo,Sassuolo (5 Seasons),Sassuolo (5 Seasons),Sassuolo (5 Seasons),,2 Leagues,,27,19,1465,16.3,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.2,33,91,35,0.00,0.06,0.06,0.00,0.06,0.02,0.05,0.08,0.02,0.08,
Andrea Ghion,Sassuolo,Perugia (2 Seasons),Perugia (2 Seasons),Perugia (2 Seasons),,1 League,,13,7,503,5.6,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,10,28,2,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,
Andrea Ghion,Sassuolo,Catanzaro (1 Season),Catanzaro (1 Season),Catanzaro (1 Season),,1 League,,21,17,1584,17.6,1,0,1,1,0,0,3,0,0.4,0.4,1.1,1.5,28,89,34,0.06,0.00,0.06,0.06,0.06,0.03,0.06,0.09,0.03,0.09,
Andrea Ghion,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Ghion,Sassuolo,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,57,43,3494,38.8,1,1,2,1,0,0,7,0,1.2,1.2,2.0,3.2,68,206,68,0.03,0.03,0.05,0.03,0.05,0.03,0.05,0.08,0.03,0.08,
Andrea Ghion,Sassuolo,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,4,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,3,0.00,0.00,0.00,0.00,0.00,0.09,0.19,0.28,0.09,0.28,
