Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Pinamonti,Sassuolo,2016-2017,17,Inter,it ITA,1. Serie A,7th,2,0,21,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Andrea Pinamonti,Sassuolo,2017-2018,18,Inter,it ITA,1. Serie A,4th,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.54,0.00,0.54,0.54,0.54,Matches
Andrea Pinamonti,Sassuolo,2018-2019,19,Frosinone,it ITA,1. Serie A,19th,27,17,1625,18.1,5,3,8,5,0,0,2,0,6.5,6.5,0.5,7.1,21,31,113,0.28,0.17,0.44,0.28,0.44,0.36,0.03,0.39,0.36,0.39,Matches
Andrea Pinamonti,Sassuolo,2019-2020,20,Genoa,it ITA,1. Serie A,17th,32,23,2236,24.8,5,1,6,4,1,2,1,0,6.0,4.3,0.7,5.0,33,37,161,0.20,0.04,0.24,0.16,0.20,0.24,0.03,0.27,0.17,0.20,Matches
Andrea Pinamonti,Sassuolo,2020-2021,21,Inter,it ITA,1. Serie A,1st,8,1,169,1.9,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.7,1,5,21,0.53,0.00,0.53,0.53,0.53,0.35,0.04,0.39,0.35,0.39,Matches
Andrea Pinamonti,Sassuolo,2021-2022,22,Inter,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Pinamonti,Sassuolo,2021-2022,22,Empoli,it ITA,1. Serie A,14th,36,32,2869,31.9,13,2,15,9,4,4,4,0,12.7,9.5,2.9,12.4,36,51,233,0.41,0.06,0.47,0.28,0.35,0.40,0.09,0.49,0.30,0.39,Matches
Andrea Pinamonti,Sassuolo,2022-2023,23,Sassuolo,it ITA,1. Serie A,13th,32,25,2161,24.0,5,0,5,4,1,1,3,1,7.1,6.3,1.5,7.8,17,29,166,0.21,0.00,0.21,0.17,0.17,0.30,0.06,0.36,0.26,0.32,Matches
Andrea Pinamonti,Sassuolo,2023-2024,24,Sassuolo,it ITA,1. Serie A,19th,38,37,3076,34.2,11,1,12,9,2,3,4,0,8.9,6.6,1.9,8.4,17,45,165,0.32,0.03,0.35,0.26,0.29,0.26,0.05,0.32,0.19,0.25,Matches
Andrea Pinamonti,Sassuolo,2024-2025,25,Genoa,it ITA,1. Serie A,13th,36,33,2850,31.7,10,1,11,10,0,1,4,0,7.7,7.0,1.7,8.7,20,46,132,0.32,0.03,0.35,0.32,0.35,0.24,0.05,0.30,0.22,0.27,Matches
