Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cristian Volpato,Sassuolo,2021-2022,17,Roma,it ITA,1. Serie A,6th,3,0,38,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,4,4,7,2.37,0.00,2.37,2.37,2.37,0.23,0.11,0.34,0.23,0.34,Matches
Cristian Volpato,Sassuolo,2022-2023,18,Roma,it ITA,1. Serie A,6th,7,2,227,2.5,1,1,2,1,0,0,0,0,0.4,0.4,1.2,1.5,8,18,24,0.40,0.40,0.79,0.40,0.79,0.14,0.47,0.61,0.14,0.61,Matches
Cristian Volpato,Sassuolo,2023-2024,19,Sassuolo,it ITA,1. Serie A,19th,22,5,645,7.2,1,0,1,1,0,0,1,0,0.5,0.5,1.4,1.9,34,53,49,0.14,0.00,0.14,0.14,0.14,0.07,0.19,0.26,0.07,0.26,Matches
Cristian Volpato,Sassuolo,2024-2025,20,Sassuolo,it ITA,2. Serie B,1st,18,9,706,7.8,4,6,10,4,0,0,4,1,1.6,1.6,1.9,3.5,53,51,61,0.51,0.76,1.27,0.51,1.27,0.20,0.23,0.42,0.20,0.42,Matches
Cristian Volpato,Sassuolo,2025-2026,21,Sassuolo,it ITA,1. Serie A,19th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cristian Volpato,Sassuolo,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,50,16,1616,18.0,7,7,14,7,0,0,5,1,2.6,2.6,4.5,7.1,99,126,141,0.39,0.39,0.78,0.39,0.78,0.14,0.24,0.38,0.14,0.38,
Cristian Volpato,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cristian Volpato,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,2 Leagues,,40,14,1351,15.0,5,6,11,5,0,0,5,1,2.1,2.1,3.3,5.4,87,104,110,0.33,0.40,0.73,0.33,0.73,0.14,0.21,0.35,0.14,0.35,
Cristian Volpato,Sassuolo,Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,10,2,265,2.9,2,1,3,2,0,0,0,0,0.5,0.5,1.2,1.7,12,22,31,0.68,0.34,1.02,0.68,1.02,0.15,0.42,0.57,0.15,0.57,
Cristian Volpato,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Volpato,Sassuolo,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,32,7,910,10.1,3,1,4,3,0,0,1,0,1.0,1.0,2.6,3.6,46,75,80,0.30,0.10,0.40,0.30,0.40,0.09,0.26,0.35,0.09,0.35,
Cristian Volpato,Sassuolo,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,18,9,706,7.8,4,6,10,4,0,0,4,1,1.6,1.6,1.9,3.5,53,51,61,0.51,0.76,1.27,0.51,1.27,0.20,0.23,0.42,0.20,0.42,
