Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Boloca,Sassuolo,2020-2021,21,Frosinone,it ITA,2. Serie B,10th,13,8,730,8.1,0,0,0,0,0,0,3,0,1.2,1.2,1.8,3.0,17,39,34,0.00,0.00,0.00,0.00,0.00,0.15,0.22,0.37,0.15,0.37,Matches
Daniel Boloca,Sassuolo,2021-2022,22,Frosinone,it ITA,2. Serie B,9th,36,30,2644,29.4,1,1,2,1,0,0,8,0,3.1,3.1,3.2,6.3,73,174,60,0.03,0.03,0.07,0.03,0.07,0.11,0.11,0.22,0.10,0.21,Matches
Daniel Boloca,Sassuolo,2022-2023,23,Frosinone,it ITA,2. Serie B,1st,31,29,2601,28.9,2,0,2,2,0,0,12,0,1.8,1.8,1.3,3.0,62,179,39,0.07,0.00,0.07,0.07,0.07,0.06,0.04,0.11,0.06,0.11,Matches
Daniel Boloca,Sassuolo,2023-2024,24,Sassuolo,it ITA,1. Serie A,19th,30,23,2022,22.5,1,0,1,1,0,0,6,1,0.5,0.5,0.4,0.9,27,109,17,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Matches
Daniel Boloca,Sassuolo,2024-2025,25,Sassuolo,it ITA,2. Serie B,1st,34,32,2691,29.9,4,3,7,4,0,0,4,0,2.7,2.7,1.3,4.0,75,137,52,0.13,0.10,0.23,0.13,0.23,0.09,0.04,0.13,0.09,0.13,Matches
Daniel Boloca,Sassuolo,2025-2026,26,Sassuolo,it ITA,1. Serie A,19th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,4,3,0,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27,Matches
Daniel Boloca,Sassuolo,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,145,123,10778,119.8,8,4,12,8,0,0,33,1,9.6,9.5,8.0,17.5,258,641,202,0.07,0.03,0.10,0.07,0.10,0.08,0.07,0.15,0.08,0.15,
Daniel Boloca,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniel Boloca,Sassuolo,Frosinone (3 Seasons),Frosinone (3 Seasons),Frosinone (3 Seasons),,1 League,,80,67,5975,66.4,3,1,4,3,0,0,23,0,6.1,6.0,6.3,12.3,152,392,133,0.05,0.02,0.06,0.05,0.06,0.09,0.09,0.19,0.09,0.19,
Daniel Boloca,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,2 Leagues,,65,56,4803,53.4,5,3,8,5,0,0,10,1,3.5,3.5,1.8,5.2,106,249,69,0.09,0.06,0.15,0.09,0.15,0.06,0.03,0.10,0.06,0.10,
Daniel Boloca,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Boloca,Sassuolo,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,114,99,8666,96.3,7,4,11,7,0,0,27,0,8.8,8.7,7.6,16.3,227,529,185,0.07,0.04,0.11,0.07,0.11,0.09,0.08,0.17,0.09,0.17,
Daniel Boloca,Sassuolo,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,31,24,2112,23.5,1,0,1,1,0,0,6,1,0.8,0.8,0.4,1.2,31,112,17,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,
