Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Domenico Berardi,Sassuolo,2012-2013,17,Sassuolo,it ITA,2. Serie B,1st,37,26,2330,25.9,11,6,17,11,0,0,5,1,,,,,,,,0.42,0.23,0.66,0.42,0.66,,,,,,
Domenico Berardi,Sassuolo,2013-2014,18,Sassuolo,it ITA,1. Serie A,17th,29,26,2170,24.1,16,6,22,10,6,6,10,1,,,,,,,,0.66,0.25,0.91,0.41,0.66,,,,,,Matches
Domenico Berardi,Sassuolo,2014-2015,19,Sassuolo,it ITA,1. Serie A,12th,32,32,2662,29.6,15,10,25,9,6,7,13,1,,,,,,,,0.51,0.34,0.85,0.3,0.64,,,,,,Matches
Domenico Berardi,Sassuolo,2015-2016,20,Sassuolo,it ITA,1. Serie A,6th,29,26,2167,24.1,7,6,13,4,3,4,10,1,,,,,,,,0.29,0.25,0.54,0.17,0.42,,,,,,Matches
Domenico Berardi,Sassuolo,2016-2017,21,Sassuolo,it ITA,1. Serie A,12th,21,20,1732,19.2,5,9,14,3,2,3,6,0,,,,,,,,0.26,0.47,0.73,0.16,0.62,,,,,,Matches
Domenico Berardi,Sassuolo,2017-2018,22,Sassuolo,it ITA,1. Serie A,11th,31,29,2296,25.5,4,2,6,2,2,4,8,1,8.9,5.8,3.7,9.5,69.0,113.0,237.0,0.16,0.08,0.24,0.08,0.16,0.35,0.15,0.5,0.23,0.37,Matches
Domenico Berardi,Sassuolo,2018-2019,23,Sassuolo,it ITA,1. Serie A,11th,35,32,2875,31.9,8,4,12,7,1,1,5,1,8.9,8.1,4.5,12.6,106.0,141.0,310.0,0.25,0.13,0.38,0.22,0.34,0.28,0.14,0.42,0.25,0.4,Matches
Domenico Berardi,Sassuolo,2019-2020,24,Sassuolo,it ITA,1. Serie A,8th,31,29,2493,27.7,14,10,24,12,2,3,6,1,10.7,8.4,7.9,16.3,78.0,132.0,227.0,0.51,0.36,0.87,0.43,0.79,0.39,0.29,0.67,0.3,0.59,Matches
Domenico Berardi,Sassuolo,2020-2021,25,Sassuolo,it ITA,1. Serie A,8th,30,28,2475,27.5,17,7,24,10,7,8,4,0,15.0,8.7,6.2,14.9,101.0,164.0,272.0,0.62,0.25,0.87,0.36,0.62,0.55,0.23,0.77,0.32,0.54,Matches
Domenico Berardi,Sassuolo,2021-2022,26,Sassuolo,it ITA,1. Serie A,11th,33,33,2819,31.3,15,14,29,9,6,6,9,0,11.3,6.5,8.7,15.3,77.0,183.0,265.0,0.48,0.45,0.93,0.29,0.73,0.36,0.28,0.64,0.21,0.49,Matches
Domenico Berardi,Sassuolo,2022-2023,27,Sassuolo,it ITA,1. Serie A,13th,26,22,1866,20.7,12,7,19,5,7,8,7,0,11.4,5.1,6.6,11.7,57.0,114.0,213.0,0.58,0.34,0.92,0.24,0.58,0.55,0.32,0.87,0.24,0.56,Matches
Domenico Berardi,Sassuolo,2023-2024,28,Sassuolo,it ITA,1. Serie A,19th,17,17,1431,15.9,9,3,12,4,5,5,6,0,6.5,2.6,3.0,5.6,38.0,83.0,123.0,0.57,0.19,0.75,0.25,0.44,0.41,0.19,0.6,0.16,0.35,Matches
Domenico Berardi,Sassuolo,2024-2025,29,Sassuolo,it ITA,2. Serie B,1st,29,25,2254,25.0,6,13,19,5,1,1,4,0,5.9,5.1,8.0,13.1,53.0,129.0,187.0,0.24,0.52,0.76,0.2,0.72,0.24,0.32,0.56,0.2,0.52,Matches
Domenico Berardi,Sassuolo,2025-2026,30,Sassuolo,it ITA,1. Serie A,19th,1,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Domenico Berardi,Sassuolo,14 Seasons,14 Seasons,1 Club,,2 Leagues,,381,346,29659,329.5,139,97,236,91,48,56,94,7,78.7,50.4,48.7,99.1,581.0,1062.0,1837.0,0.42,0.29,0.72,0.28,0.57,0.38,0.24,0.62,0.24,0.48,
Domenico Berardi,Sassuolo,Serie A (12 Seasons),Serie A (12 Seasons),Serie A (12 Seasons),,,,315,295,25075,278.6,122,78,200,75,47,55,85,6,72.8,45.3,40.7,86.0,528.0,933.0,1650.0,0.44,0.28,0.72,0.27,0.55,0.4,0.22,0.63,0.25,0.47,
Domenico Berardi,Sassuolo,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,66,51,4584,50.9,17,19,36,16,1,1,9,1,5.9,5.1,8.0,13.1,53.0,129.0,187.0,0.33,0.37,0.71,0.31,0.69,0.24,0.32,0.56,0.2,0.52,
