Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filippo Romagna,Sassuolo,2014-2015,17,Juventus,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Romagna,Sassuolo,2015-2016,18,Juventus,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Romagna,Sassuolo,2016-2017,19,Brescia,it ITA,2. Serie B,15th,14,14,1232,13.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Filippo Romagna,Sassuolo,2016-2017,19,Novara,it ITA,2. Serie B,9th,4,1,126,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Filippo Romagna,Sassuolo,2017-2018,20,Cagliari,it ITA,1. Serie A,16th,23,21,1888,21.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,22,94,4,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Filippo Romagna,Sassuolo,2018-2019,21,Cagliari,it ITA,1. Serie A,15th,18,16,1474,16.4,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,9,32,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Filippo Romagna,Sassuolo,2019-2020,22,Cagliari,it ITA,1. Serie A,14th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Romagna,Sassuolo,2019-2020,22,Sassuolo,it ITA,1. Serie A,8th,18,16,1477,16.4,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,4,30,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Filippo Romagna,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Romagna,Sassuolo,2021-2022,24,Sassuolo,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Romagna,Sassuolo,2022-2023,25,Sassuolo,it ITA,1. Serie A,13th,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Romagna,Sassuolo,2023-2024,26,Reggiana,it ITA,2. Serie B,11th,13,11,1039,11.5,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,0,21,3,0.00,0.09,0.09,0.00,0.09,0.00,0.04,0.04,0.00,0.04,Matches
Filippo Romagna,Sassuolo,2024-2025,27,Sassuolo,it ITA,2. Serie B,1st,23,21,1869,20.8,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,3,70,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Filippo Romagna,Sassuolo,2025-2026,28,Sassuolo,it ITA,1. Serie A,19th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Filippo Romagna,Sassuolo,11 Seasons,11 Seasons,6 Clubs,,2 Leagues,,116,101,9241,102.7,0,1,1,0,0,0,11,0,1.2,1.2,0.8,2.0,40,247,9,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.01,0.02,
Filippo Romagna,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Filippo Romagna,Sassuolo,Sassuolo (5 Seasons),Sassuolo (5 Seasons),Sassuolo (5 Seasons),,2 Leagues,,44,38,3482,38.7,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.7,9,100,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,
Filippo Romagna,Sassuolo,Cagliari (3 Seasons),Cagliari (3 Seasons),Cagliari (3 Seasons),,1 League,,41,37,3362,37.4,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.8,31,126,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,
Filippo Romagna,Sassuolo,Juventus (2 Seasons),Juventus (2 Seasons),Juventus (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Romagna,Sassuolo,Brescia (1 Season),Brescia (1 Season),Brescia (1 Season),,1 League,,14,14,1232,13.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Filippo Romagna,Sassuolo,Reggiana (1 Season),Reggiana (1 Season),Reggiana (1 Season),,1 League,,13,11,1039,11.5,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,0,21,3,0.00,0.09,0.09,0.00,0.09,0.00,0.04,0.04,0.00,0.04,
Filippo Romagna,Sassuolo,Novara (1 Season),Novara (1 Season),Novara (1 Season),,1 League,,4,1,126,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Filippo Romagna,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
