Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ismaël Koné,Sassuolo,2021,18,CF Montréal,us USA,1. MLS,18th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ismaël Koné,Sassuolo,2022,19,CF Montréal,us USA,1. MLS,3rd,26,18,1582,17.6,2,4,6,2,0,0,7,1,1.5,1.5,2.4,3.8,30,78,62,0.11,0.23,0.34,0.11,0.34,0.08,0.13,0.22,0.08,0.22,Matches
Ismaël Koné,Sassuolo,2022-2023,20,Watford,eng ENG,2. Championship,11th,16,13,1013,11.3,0,1,1,0,0,0,1,0,0.8,0.8,1.0,1.9,25,47,37,0.00,0.09,0.09,0.00,0.09,0.07,0.09,0.17,0.07,0.17,Matches
Ismaël Koné,Sassuolo,2023-2024,21,Watford,eng ENG,2. Championship,15th,42,28,2555,28.4,4,3,7,4,0,0,3,0,2.8,2.8,2.3,5.1,73,151,81,0.14,0.11,0.25,0.14,0.25,0.10,0.08,0.18,0.10,0.18,Matches
Ismaël Koné,Sassuolo,2024-2025,22,Marseille,fr FRA,1. Ligue 1,2nd,8,3,360,4.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.6,2,10,10,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
Ismaël Koné,Sassuolo,2024-2025,22,Rennes,fr FRA,1. Ligue 1,12th,13,4,469,5.2,2,1,3,2,0,0,1,0,0.2,0.2,1.3,1.5,16,30,16,0.38,0.19,0.58,0.38,0.58,0.03,0.25,0.28,0.03,0.28,Matches
Ismaël Koné,Sassuolo,2025-2026,23,Sassuolo,it ITA,1. Serie A,19th,1,1,78,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ismaël Koné,Sassuolo,5 Seasons,5 Seasons,5 Clubs,,4 Leagues,,106,67,6057,67.3,8,9,17,8,0,0,14,2,5.6,5.6,7.4,13.0,146,317,206,0.12,0.13,0.25,0.12,0.25,0.08,0.11,0.19,0.08,0.19,
Ismaël Koné,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ismaël Koné,Sassuolo,Watford (2 Seasons),Watford (2 Seasons),Watford (2 Seasons),,1 League,,58,41,3568,39.6,4,4,8,4,0,0,4,0,3.7,3.7,3.3,7.0,98,198,118,0.10,0.10,0.20,0.10,0.20,0.09,0.08,0.18,0.09,0.18,
Ismaël Koné,Sassuolo,CF Montréal (2 Seasons),CF Montréal (2 Seasons),CF Montréal (2 Seasons),,1 League,,26,18,1582,17.6,2,4,6,2,0,0,7,1,1.5,1.5,2.4,3.8,30,78,62,0.11,0.23,0.34,0.11,0.34,0.08,0.13,0.22,0.08,0.22,
Ismaël Koné,Sassuolo,Rennes (1 Season),Rennes (1 Season),Rennes (1 Season),,1 League,,13,4,469,5.2,2,1,3,2,0,0,1,0,0.2,0.2,1.3,1.5,16,30,16,0.38,0.19,0.58,0.38,0.58,0.03,0.25,0.28,0.03,0.28,
Ismaël Koné,Sassuolo,Marseille (1 Season),Marseille (1 Season),Marseille (1 Season),,1 League,,8,3,360,4.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.6,2,10,10,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,
Ismaël Koné,Sassuolo,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,1,1,78,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Ismaël Koné,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismaël Koné,Sassuolo,Championship (2 Seasons),Championship (2 Seasons),Championship (2 Seasons),,,,58,41,3568,39.6,4,4,8,4,0,0,4,0,3.7,3.7,3.3,7.0,98,198,118,0.10,0.10,0.20,0.10,0.20,0.09,0.08,0.18,0.09,0.18,
Ismaël Koné,Sassuolo,MLS (2 Seasons),MLS (2 Seasons),MLS (2 Seasons),,,,26,18,1582,17.6,2,4,6,2,0,0,7,1,1.5,1.5,2.4,3.8,30,78,62,0.11,0.23,0.34,0.11,0.34,0.08,0.13,0.22,0.08,0.22,
Ismaël Koné,Sassuolo,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,21,7,829,9.2,2,1,3,2,0,0,1,0,0.4,0.4,1.7,2.1,18,40,26,0.22,0.11,0.33,0.22,0.33,0.05,0.18,0.23,0.05,0.23,
Ismaël Koné,Sassuolo,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,78,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
