Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Lipani,Sassuolo,2022-2023,17,Genoa,it ITA,2. Serie B,2nd,2,0,14,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,0,0.00,6.43,6.43,0.00,6.43,0.00,0.56,0.56,0.00,0.56,Matches
Luca Lipani,Sassuolo,2023-2024,18,Sassuolo,it ITA,1. Serie A,19th,8,5,384,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Luca Lipani,Sassuolo,2024-2025,19,Sassuolo,it ITA,2. Serie B,1st,22,6,717,8.0,1,2,3,1,0,0,1,0,1.6,1.6,1.3,2.9,6,35,26,0.13,0.25,0.38,0.13,0.38,0.20,0.16,0.36,0.20,0.36,Matches
Luca Lipani,Sassuolo,2025-2026,20,Sassuolo,it ITA,1. Serie A,19th,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Luca Lipani,Sassuolo,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,33,12,1187,13.2,1,3,4,1,0,0,1,0,1.7,1.7,1.6,3.3,13,60,29,0.08,0.23,0.30,0.08,0.30,0.13,0.12,0.25,0.13,0.25,
Luca Lipani,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luca Lipani,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,2 Leagues,,31,12,1173,13.0,1,2,3,1,0,0,1,0,1.7,1.7,1.5,3.2,12,58,29,0.08,0.15,0.23,0.08,0.23,0.13,0.11,0.25,0.13,0.25,
Luca Lipani,Sassuolo,Genoa (1 Season),Genoa (1 Season),Genoa (1 Season),,1 League,,2,0,14,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,0,0.00,6.43,6.43,0.00,6.43,0.00,0.56,0.56,0.00,0.56,
Luca Lipani,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Lipani,Sassuolo,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,24,6,731,8.1,1,3,4,1,0,0,1,0,1.6,1.6,1.4,3.0,7,37,26,0.12,0.37,0.49,0.12,0.49,0.20,0.17,0.37,0.20,0.37,
Luca Lipani,Sassuolo,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,9,6,456,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,23,3,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,
