Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samuele Mulattieri,Sassuolo,2017-2018,16,Spezia,it ITA,2. Serie B,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuele Mulattieri,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuele Mulattieri,Sassuolo,2020-2021,19,Volendam,nl NED,2. Eerste Divisie,6th,30,29,2418,26.9,18,2,20,18,0,0,3,0,,,,,,,,0.67,0.07,0.74,0.67,0.74,,,,,,Matches
Samuele Mulattieri,Sassuolo,2021-2022,20,Crotone,it ITA,2. Serie B,19th,28,21,1929,21.4,6,0,6,6,0,0,1,0,6.1,6.1,1.7,7.8,25,35,146,0.28,0.00,0.28,0.28,0.28,0.29,0.08,0.36,0.29,0.36,Matches
Samuele Mulattieri,Sassuolo,2022-2023,21,Frosinone,it ITA,2. Serie B,1st,29,15,1502,16.7,12,4,16,12,0,0,3,0,7.5,7.5,1.8,9.2,27,20,106,0.72,0.24,0.96,0.72,0.96,0.45,0.11,0.55,0.45,0.55,Matches
Samuele Mulattieri,Sassuolo,2023-2024,22,Sassuolo,it ITA,1. Serie A,19th,27,1,462,5.1,0,0,0,0,0,0,1,0,1.6,1.6,0.3,1.9,8,1,38,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.37,0.31,0.37,Matches
Samuele Mulattieri,Sassuolo,2024-2025,23,Sassuolo,it ITA,2. Serie B,1st,32,19,1616,18.0,9,3,12,9,0,0,3,0,6.2,6.2,1.3,7.5,30,20,114,0.50,0.17,0.67,0.50,0.67,0.35,0.07,0.42,0.35,0.42,Matches
Samuele Mulattieri,Sassuolo,2025-2026,24,Sassuolo,it ITA,1. Serie A,19th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuele Mulattieri,Sassuolo,7 Seasons,7 Seasons,5 Clubs,,3 Leagues,,146,85,7927,88.1,45,9,54,45,0,0,11,0,21.4,21.4,5.0,26.4,90,76,404,0.51,0.10,0.61,0.51,0.61,0.35,0.08,0.43,0.35,0.43,
Samuele Mulattieri,Sassuolo,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samuele Mulattieri,Sassuolo,Sassuolo (3 Seasons),Sassuolo (3 Seasons),Sassuolo (3 Seasons),,2 Leagues,,59,20,2078,23.1,9,3,12,9,0,0,4,0,7.8,7.8,1.6,9.4,38,21,152,0.39,0.13,0.52,0.39,0.52,0.34,0.07,0.41,0.34,0.41,
Samuele Mulattieri,Sassuolo,Volendam (1 Season),Volendam (1 Season),Volendam (1 Season),,1 League,,30,29,2418,26.9,18,2,20,18,0,0,3,0,,,,,,,,0.67,0.07,0.74,0.67,0.74,,,,,,
Samuele Mulattieri,Sassuolo,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,29,15,1502,16.7,12,4,16,12,0,0,3,0,7.5,7.5,1.8,9.2,27,20,106,0.72,0.24,0.96,0.72,0.96,0.45,0.11,0.55,0.45,0.55,
Samuele Mulattieri,Sassuolo,Crotone (1 Season),Crotone (1 Season),Crotone (1 Season),,1 League,,28,21,1929,21.4,6,0,6,6,0,0,1,0,6.1,6.1,1.7,7.8,25,35,146,0.28,0.00,0.28,0.28,0.28,0.29,0.08,0.36,0.29,0.36,
Samuele Mulattieri,Sassuolo,Spezia (1 Season),Spezia (1 Season),Spezia (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuele Mulattieri,Sassuolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuele Mulattieri,Sassuolo,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,89,55,5047,56.1,27,7,34,27,0,0,7,0,19.8,19.8,4.7,24.6,82,75,366,0.48,0.12,0.61,0.48,0.61,0.35,0.08,0.44,0.35,0.44,
Samuele Mulattieri,Sassuolo,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,27,1,462,5.1,0,0,0,0,0,0,1,0,1.6,1.6,0.3,1.9,8,1,38,0.00,0.00,0.00,0.00,0.00,0.31,0.05,0.37,0.31,0.37,
Samuele Mulattieri,Sassuolo,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,30,29,2418,26.9,18,2,20,18,0,0,3,0,,,,,,,,0.67,0.07,0.74,0.67,0.74,,,,,,
