Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sebastian Walukiewicz,Sassuolo,2017-2018,17,Pogoń Szczecin,pl POL,1. Ekstraklasa,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sebastian Walukiewicz,Sassuolo,2018-2019,18,Pogoń Szczecin,pl POL,1. Ekstraklasa,7th,29,28,2545,28.3,1,1,2,1,0,0,6,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches
Sebastian Walukiewicz,Sassuolo,2019-2020,19,Cagliari,it ITA,1. Serie A,14th,14,13,1165,12.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,19,32,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Sebastian Walukiewicz,Sassuolo,2020-2021,20,Cagliari,it ITA,1. Serie A,16th,19,18,1618,18.0,0,1,1,0,0,0,1,0,0.7,0.7,0.6,1.3,16,39,1,0.00,0.06,0.06,0.00,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Sebastian Walukiewicz,Sassuolo,2021-2022,21,Cagliari,it ITA,1. Serie A,18th,7,4,302,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,4,13,2,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches
Sebastian Walukiewicz,Sassuolo,2022-2023,22,Empoli,it ITA,1. Serie A,14th,11,6,603,6.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,13,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
Sebastian Walukiewicz,Sassuolo,2023-2024,23,Empoli,it ITA,1. Serie A,17th,27,23,2055,22.8,0,0,0,0,0,0,6,0,0.1,0.1,0.1,0.2,14,45,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Sebastian Walukiewicz,Sassuolo,2024-2025,24,Empoli,it ITA,1. Serie A,18th,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Sebastian Walukiewicz,Sassuolo,2024-2025,24,Torino,it ITA,1. Serie A,11th,29,20,1661,18.5,0,0,0,0,0,0,6,0,0.4,0.4,0.3,0.7,25,80,31,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
