Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adam Masina,Torino,2014-2015,20,Bologna,it ITA,2. Serie B,4th,25,19,1824,20.3,1,0,1,1,0,0,5,0,,,,,,,,0.05,0.00,0.05,0.05,0.05,,,,,,Matches
Adam Masina,Torino,2015-2016,21,Bologna,it ITA,1. Serie A,14th,33,30,2620,29.1,2,3,5,2,0,0,8,1,,,,,,,,0.07,0.10,0.17,0.07,0.17,,,,,,Matches
Adam Masina,Torino,2016-2017,22,Bologna,it ITA,1. Serie A,15th,32,28,2428,27.0,1,1,2,1,0,0,6,1,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches
Adam Masina,Torino,2017-2018,23,Bologna,it ITA,1. Serie A,15th,34,33,2830,31.4,0,1,1,0,0,0,8,1,1.9,1.9,1.8,3.7,57,162,108,0.00,0.03,0.03,0.00,0.03,0.06,0.06,0.12,0.06,0.12,Matches
Adam Masina,Torino,2018-2019,24,Watford,eng ENG,1. Premier League,11th,14,11,1004,11.2,0,1,1,0,0,0,5,0,0.1,0.1,0.8,0.9,10,39,13,0.00,0.09,0.09,0.00,0.09,0.01,0.07,0.08,0.01,0.08,Matches
Adam Masina,Torino,2019-2020,25,Watford,eng ENG,1. Premier League,19th,26,20,1821,20.2,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.5,18,73,32,0.05,0.00,0.05,0.05,0.05,0.05,0.03,0.07,0.05,0.07,Matches
Adam Masina,Torino,2020-2021,26,Watford,eng ENG,2. Championship,2nd,25,21,1927,21.4,2,0,2,2,0,0,4,0,0.9,0.9,0.9,1.8,24,123,28,0.09,0.00,0.09,0.09,0.09,0.04,0.04,0.08,0.04,0.08,Matches
Adam Masina,Torino,2021-2022,27,Watford,eng ENG,1. Premier League,19th,15,13,1077,12.0,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1.0,9,37,12,0.00,0.08,0.08,0.00,0.08,0.03,0.06,0.08,0.03,0.08,Matches
Adam Masina,Torino,2022-2023,28,Udinese,it ITA,1. Serie A,12th,14,8,789,8.8,2,0,2,2,0,0,2,0,0.1,0.1,0.2,0.3,4,24,6,0.23,0.00,0.23,0.23,0.23,0.01,0.02,0.03,0.01,0.03,Matches
Adam Masina,Torino,2023-2024,29,Udinese,it ITA,1. Serie A,15th,4,1,64,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Adam Masina,Torino,2023-2024,29,Torino,it ITA,1. Serie A,9th,16,10,1024,11.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3,42,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Adam Masina,Torino,2024-2025,30,Torino,it ITA,1. Serie A,11th,28,20,1919,21.3,1,2,3,1,0,0,5,0,0.7,0.7,0.3,1.0,15,73,10,0.05,0.09,0.14,0.05,0.14,0.03,0.01,0.05,0.03,0.05,Matches
Adam Masina,Torino,2025-2026,31,Torino,it ITA,1. Serie A,20th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Adam Masina,Torino,12 Seasons,12 Seasons,4 Clubs,,4 Leagues,,267,215,19417,215.7,10,9,19,10,0,0,48,3,5.2,5.2,5.5,10.6,140,579,218,0.05,0.04,0.09,0.05,0.09,0.04,0.04,0.08,0.04,0.08,
Adam Masina,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
