Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adrien Tameze,Torino,2015-2016,21,Valenciennes,fr FRA,2. Ligue 2,12th,21,17,1499,16.7,1,0,1,1,0,0,3,0,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matches
Adrien Tameze,Torino,2016-2017,22,Valenciennes,fr FRA,2. Ligue 2,13th,35,31,2782,30.9,0,2,2,0,0,0,6,0,,,,,,,,0.00,0.06,0.06,0.00,0.06,,,,,,Matches
Adrien Tameze,Torino,2017-2018,23,Nice,fr FRA,1. Ligue 1,8th,26,19,1681,18.7,0,1,1,0,0,0,3,0,0.3,0.3,0.9,1.2,21,86,23,0.00,0.05,0.05,0.00,0.05,0.01,0.05,0.07,0.01,0.07,Matches
Adrien Tameze,Torino,2018-2019,24,Nice,fr FRA,1. Ligue 1,7th,37,34,2942,32.7,0,3,3,0,0,0,7,0,1.0,1.0,1.4,2.4,31,163,60,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.07,0.03,0.07,Matches
Adrien Tameze,Torino,2019-2020,25,Nice,fr FRA,1. Ligue 1,5th,8,6,519,5.8,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,11,20,24,0.17,0.00,0.17,0.17,0.17,0.13,0.08,0.21,0.13,0.21,Matches
Adrien Tameze,Torino,2019-2020,25,Atalanta,it ITA,1. Serie A,3rd,7,2,211,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,3,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Adrien Tameze,Torino,2020-2021,26,Hellas Verona,it ITA,1. Serie A,10th,33,28,2304,25.6,1,0,1,1,0,0,6,0,1.2,1.2,0.6,1.7,33,101,58,0.04,0.00,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Adrien Tameze,Torino,2021-2022,27,Hellas Verona,it ITA,1. Serie A,9th,38,26,2574,28.6,4,2,6,4,0,0,4,0,1.2,1.2,1.9,3.1,55,134,96,0.14,0.07,0.21,0.14,0.21,0.04,0.07,0.11,0.04,0.11,Matches
Adrien Tameze,Torino,2022-2023,28,Hellas Verona,it ITA,1. Serie A,18th,37,35,3031,33.7,0,0,0,0,0,0,3,0,0.9,0.9,0.9,1.8,32,103,58,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
Adrien Tameze,Torino,2023-2024,29,Torino,it ITA,1. Serie A,9th,29,25,2146,23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,22,90,39,0.00,0.08,0.08,0.00,0.08,0.03,0.09,0.12,0.03,0.12,Matches
Adrien Tameze,Torino,2024-2025,30,Torino,it ITA,1. Serie A,11th,20,9,649,7.2,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,16,23,21,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17,Matches
Adrien Tameze,Torino,2025-2026,31,Torino,it ITA,1. Serie A,20th,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
