Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Che Adams,Torino,2014-2015,18,Sheffield Utd,eng ENG,3. League One,5th,10,5,467,5.2,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Che Adams,Torino,2015-2016,19,Sheffield Utd,eng ENG,3. League One,11th,36,29,2633,29.3,11,2,13,10,1,1,5,0,,,,,,,,0.38,0.07,0.44,0.34,0.41,,,,,,Matches
Che Adams,Torino,2016-2017,20,Sheffield Utd,eng ENG,3. League One,1st,1,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Che Adams,Torino,2016-2017,20,Birmingham City,eng ENG,2. Championship,19th,40,28,2619,29.1,7,3,10,7,0,0,3,1,,,,,,,,0.24,0.10,0.34,0.24,0.34,,,,,,Matches
Che Adams,Torino,2017-2018,21,Birmingham City,eng ENG,2. Championship,19th,30,16,1541,17.1,5,2,7,5,0,0,1,1,,,,,,,,0.29,0.12,0.41,0.29,0.41,,,,,,Matches
Che Adams,Torino,2018-2019,22,Birmingham City,eng ENG,2. Championship,17th,46,43,3728,41.4,22,4,26,21,1,1,5,0,15.9,15.4,6.2,21.6,69,61,332,0.53,0.10,0.63,0.51,0.60,0.39,0.15,0.53,0.37,0.52,Matches
Che Adams,Torino,2019-2020,23,Southampton,eng ENG,Jr. PL2 — Div. 1,11th,1,1,90,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,Matches
Che Adams,Torino,2019-2020,23,Southampton,eng ENG,1. Premier League,11th,30,12,1111,12.3,4,2,6,4,0,0,0,0,5.3,5.3,1.7,7.0,20,16,87,0.32,0.16,0.49,0.32,0.49,0.43,0.14,0.57,0.43,0.57,Matches
Che Adams,Torino,2020-2021,24,Southampton,eng ENG,1. Premier League,15th,36,30,2667,29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8,32,57,149,0.30,0.17,0.47,0.30,0.47,0.33,0.17,0.50,0.33,0.50,Matches
Che Adams,Torino,2021-2022,25,Southampton,eng ENG,1. Premier League,15th,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,7.1,3.0,10.1,19,33,153,0.31,0.13,0.44,0.31,0.44,0.31,0.13,0.45,0.31,0.45,Matches
Che Adams,Torino,2022-2023,26,Southampton,eng ENG,1. Premier League,20th,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.7,6.7,2.8,9.5,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.43,0.30,0.43,Matches
Che Adams,Torino,2023-2024,27,Southampton,eng ENG,2. Championship,4th,40,25,2289,25.4,16,4,20,16,0,0,5,0,13.6,13.6,3.6,17.2,21,88,150,0.63,0.16,0.79,0.63,0.79,0.53,0.14,0.68,0.53,0.68,Matches
Che Adams,Torino,2024-2025,28,Torino,it ITA,1. Serie A,11th,36,30,2652,29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,23,40,153,0.31,0.10,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35,Matches
Che Adams,Torino,2025-2026,29,Torino,it ITA,1. Serie A,20th,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
Che Adams,Torino,12 Seasons,12 Seasons,4 Clubs,,4 Leagues,,364,264,23789,264.3,95,31,126,93,2,3,24,2,67.5,66.2,24.3,90.5,201,329,1144,0.36,0.12,0.48,0.35,0.47,0.37,0.13,0.50,0.36,0.49,
Che Adams,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Che Adams,Torino,Southampton (5 Seasons),Southampton (5 Seasons),Southampton (5 Seasons),,2 Leagues,,164,113,10098,112.2,41,17,58,41,0,0,7,0,42.5,42.5,16.1,58.6,109,228,654,0.37,0.15,0.52,0.37,0.52,0.38,0.14,0.52,0.38,0.52,
Che Adams,Torino,Birmingham City (3 Seasons),Birmingham City (3 Seasons),Birmingham City (3 Seasons),,1 League,,116,87,7888,87.6,34,9,43,33,1,1,9,2,15.9,15.4,6.2,21.6,69,61,332,0.39,0.10,0.49,0.38,0.48,0.39,0.15,0.53,0.37,0.52,
Che Adams,Torino,Sheffield Utd (3 Seasons),Sheffield Utd (3 Seasons),Sheffield Utd (3 Seasons),,1 League,,47,34,3124,34.7,11,2,13,10,1,1,6,0,,,,,,,,0.32,0.06,0.37,0.29,0.35,,,,,,
Che Adams,Torino,Torino (2 Seasons),Torino (2 Seasons),Torino (2 Seasons),,1 League,,37,30,2679,29.8,9,3,12,9,0,1,2,0,9.1,8.3,2.0,10.3,23,40,158,0.30,0.10,0.40,0.30,0.40,0.30,0.07,0.37,0.28,0.34,
Che Adams,Torino,Southampton (1 Season),Southampton (1 Season),Southampton (1 Season),,1 League,,1,1,90,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,
Che Adams,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che Adams,Torino,Championship (4 Seasons),Championship (4 Seasons),Championship (4 Seasons),,,,156,112,10177,113.1,50,13,63,49,1,1,14,2,29.5,29.0,9.8,38.8,90,149,482,0.44,0.11,0.56,0.43,0.55,0.44,0.15,0.59,0.43,0.58,
Che Adams,Torino,Premier League (4 Seasons),Premier League (4 Seasons),Premier League (4 Seasons),,,,124,88,7809,86.8,25,13,38,25,0,0,2,0,28.9,28.9,12.5,41.4,88,140,504,0.29,0.15,0.44,0.29,0.44,0.33,0.14,0.48,0.33,0.48,
Che Adams,Torino,League One (3 Seasons),League One (3 Seasons),League One (3 Seasons),,,,47,34,3124,34.7,11,2,13,10,1,1,6,0,,,,,,,,0.32,0.06,0.37,0.29,0.35,,,,,,
Che Adams,Torino,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,37,30,2679,29.8,9,3,12,9,0,1,2,0,9.1,8.3,2.0,10.3,23,40,158,0.30,0.10,0.40,0.30,0.40,0.30,0.07,0.37,0.28,0.34,
Che Adams,Torino,PL2 — Div. 1 (1 Season),PL2 — Div. 1 (1 Season),PL2 — Div. 1 (1 Season),,,,1,1,90,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,
