Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Duván Zapata,Torino,2013-2014,22,Napoli,it ITA,1. Serie A,3rd,16,6,575,6.4,5,2,7,5,0,0,2,0,,,,,,,,0.78,0.31,1.10,0.78,1.10,,,,,,Matches
Duván Zapata,Torino,2014-2015,23,Napoli,it ITA,1. Serie A,5th,21,6,623,6.9,6,1,7,6,0,0,2,0,,,,,,,,0.87,0.14,1.01,0.87,1.01,,,,,,Matches
Duván Zapata,Torino,2015-2016,24,Udinese,it ITA,1. Serie A,17th,25,15,1518,16.9,8,2,10,8,0,0,6,0,,,,,,,,0.47,0.12,0.59,0.47,0.59,,,,,,Matches
Duván Zapata,Torino,2016-2017,25,Udinese,it ITA,1. Serie A,13th,38,37,3141,34.9,10,3,13,9,1,1,3,0,,,,,,,,0.29,0.09,0.37,0.26,0.34,,,,,,Matches
Duván Zapata,Torino,2017-2018,26,Sampdoria,it ITA,1. Serie A,10th,31,24,2108,23.4,11,3,14,11,0,0,1,0,9.7,9.7,3.6,13.2,57,36,222,0.47,0.13,0.60,0.47,0.60,0.41,0.15,0.56,0.41,0.56,Matches
Duván Zapata,Torino,2018-2019,27,Atalanta,it ITA,1. Serie A,3rd,37,32,2896,32.2,23,7,30,22,1,2,5,0,18.9,17.3,9.5,26.8,108,68,374,0.71,0.22,0.93,0.68,0.90,0.59,0.30,0.88,0.54,0.83,Matches
Duván Zapata,Torino,2019-2020,28,Atalanta,it ITA,1. Serie A,3rd,28,25,2026,22.5,18,6,24,17,1,1,1,0,15.6,14.8,5.7,20.5,52,43,247,0.80,0.27,1.07,0.76,1.02,0.69,0.25,0.94,0.66,0.91,Matches
Duván Zapata,Torino,2020-2021,29,Atalanta,it ITA,1. Serie A,3rd,37,29,2379,26.4,15,9,24,14,1,1,0,0,15.2,14.4,5.4,19.7,88,48,329,0.57,0.34,0.91,0.53,0.87,0.57,0.20,0.78,0.54,0.75,Matches
Duván Zapata,Torino,2021-2022,30,Atalanta,it ITA,1. Serie A,8th,24,20,1722,19.1,10,4,14,7,3,3,3,0,13.5,11.2,4.4,15.6,66,47,213,0.52,0.21,0.73,0.37,0.57,0.71,0.23,0.94,0.58,0.81,Matches
Duván Zapata,Torino,2022-2023,31,Atalanta,it ITA,1. Serie A,5th,25,16,1390,15.4,2,2,4,2,0,0,1,0,3.9,3.9,1.1,5.1,35,40,140,0.13,0.13,0.26,0.13,0.26,0.25,0.07,0.33,0.25,0.33,Matches
Duván Zapata,Torino,2023-2024,32,Atalanta,it ITA,1. Serie A,4th,2,2,112,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,3,3,13,0.80,0.00,0.80,0.80,0.80,0.33,0.10,0.44,0.33,0.44,Matches
Duván Zapata,Torino,2023-2024,32,Torino,it ITA,1. Serie A,9th,35,34,2880,32.0,12,4,16,12,0,0,2,0,10.9,10.9,3.0,13.9,74,52,242,0.37,0.12,0.50,0.37,0.50,0.34,0.09,0.43,0.34,0.43,Matches
Duván Zapata,Torino,2024-2025,33,Torino,it ITA,1. Serie A,11th,7,7,587,6.5,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,6,7,36,0.46,0.00,0.46,0.46,0.46,0.52,0.08,0.59,0.52,0.59,Matches
Duván Zapata,Torino,2025-2026,34,Torino,it ITA,1. Serie A,20th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Duván Zapata,Torino,13 Seasons,13 Seasons,5 Clubs,,1 League,,326,253,21957,244.0,124,43,167,117,7,8,27,0,91.4,85.9,33.3,119.2,489,344,1816,0.51,0.18,0.68,0.48,0.66,0.51,0.19,0.70,0.48,0.67,
Duván Zapata,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Duván Zapata,Torino,Atalanta (6 Seasons),Atalanta (6 Seasons),Atalanta (6 Seasons),,1 League,,153,124,10525,116.9,69,28,97,63,6,7,10,0,67.5,62.0,26.2,88.2,352,249,1316,0.59,0.24,0.83,0.54,0.78,0.58,0.22,0.80,0.53,0.75,
