Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Faustino Anjorin,Torino,2018-2019,16,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,7,3,378,4.2,2,0,2,2,0,0,0,0,,,,,,,,0.48,0.00,0.48,0.48,0.48,,,,,,Matches
Faustino Anjorin,Torino,2019-2020,17,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,11,7,706,7.8,5,1,6,4,1,1,0,0,,,,,,,,0.64,0.13,0.76,0.51,0.64,,,,,,Matches
Faustino Anjorin,Torino,2019-2020,17,Chelsea,eng ENG,1. Premier League,4th,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Faustino Anjorin,Torino,2020-2021,18,Chelsea,eng ENG,Jr. PL2 — Div. 1,2nd,10,9,753,8.4,4,4,8,3,1,2,1,0,,,,,,,,0.48,0.48,0.96,0.36,0.84,,,,,,Matches
Faustino Anjorin,Torino,2020-2021,18,Chelsea,eng ENG,1. Premier League,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Faustino Anjorin,Torino,2021-2022,19,Loko Moscow,ru RUS,1. Premier League,6th,7,2,188,2.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Faustino Anjorin,Torino,2021-2022,19,Huddersfield,eng ENG,2. Championship,3rd,7,0,140,1.6,1,0,1,0,1,1,0,0,1.0,0.2,0.9,1.1,5,7,11,0.64,0.00,0.64,0.00,0.00,0.62,0.60,1.22,0.12,0.71,Matches
Faustino Anjorin,Torino,2022-2023,20,Huddersfield,eng ENG,2. Championship,18th,8,6,439,4.9,2,0,2,2,0,0,0,0,0.5,0.5,0.0,0.6,14,13,17,0.41,0.00,0.41,0.41,0.41,0.11,0.01,0.12,0.11,0.12,Matches
Faustino Anjorin,Torino,2023-2024,21,Portsmouth,eng ENG,3. League One,1st,12,5,460,5.1,1,0,1,1,0,0,0,0,,,,,,,,0.20,0.00,0.20,0.20,0.20,,,,,,Matches
