Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovanni Simeone,Torino,2014,18,River Plate,ar ARG,1. Primera Div,2nd,7,0,149,1.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Giovanni Simeone,Torino,2015,19,River Plate,ar ARG,1. Primera Div,9th,3,1,108,1.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Giovanni Simeone,Torino,2015,19,Banfield,ar ARG,1. Primera Div,8th,15,15,1224,13.6,7,0,7,7,0,0,2,0,,,,,,,,0.51,0.00,0.51,0.51,0.51,,,,,,Matches
Giovanni Simeone,Torino,2016,20,Banfield,ar ARG,1. Primera Div,13th,16,14,1279,14.2,5,1,6,5,0,0,0,0,,,,,,,,0.35,0.07,0.42,0.35,0.42,,,,,,Matches
Giovanni Simeone,Torino,2016-2017,21,Genoa,it ITA,1. Serie A,16th,35,29,2614,29.0,12,1,13,11,1,2,3,0,,,,,,,,0.41,0.03,0.45,0.38,0.41,,,,,,Matches
Giovanni Simeone,Torino,2017-2018,22,Fiorentina,it ITA,1. Serie A,8th,38,36,2998,33.3,14,4,18,14,0,0,3,0,14.3,14.3,2.9,17.2,58,32,245,0.42,0.12,0.54,0.42,0.54,0.43,0.09,0.52,0.43,0.52,Matches
Giovanni Simeone,Torino,2018-2019,23,Fiorentina,it ITA,1. Serie A,16th,36,27,2454,27.3,6,3,9,6,0,0,2,0,11.2,11.2,2.4,13.5,38,26,173,0.22,0.11,0.33,0.22,0.33,0.41,0.09,0.50,0.41,0.50,Matches
Giovanni Simeone,Torino,2019-2020,24,Fiorentina,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Giovanni Simeone,Torino,2019-2020,24,Cagliari,it ITA,1. Serie A,14th,37,34,2924,32.5,12,3,15,12,0,0,4,0,11.8,11.8,2.3,14.1,41,19,189,0.37,0.09,0.46,0.37,0.46,0.36,0.07,0.43,0.36,0.43,Matches
Giovanni Simeone,Torino,2020-2021,25,Cagliari,it ITA,1. Serie A,16th,33,19,1740,19.3,6,2,8,6,0,0,1,0,7.7,7.7,1.3,9.1,25,13,81,0.31,0.10,0.41,0.31,0.41,0.40,0.07,0.47,0.40,0.47,Matches
Giovanni Simeone,Torino,2021-2022,26,Cagliari,it ITA,1. Serie A,18th,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Giovanni Simeone,Torino,2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,35,32,2653,29.5,17,5,22,17,0,1,8,0,10.3,9.5,3.2,12.7,40,40,259,0.58,0.17,0.75,0.58,0.75,0.35,0.11,0.46,0.32,0.43,Matches
Giovanni Simeone,Torino,2022-2023,27,Napoli,it ITA,1. Serie A,1st,25,1,406,4.5,4,1,5,4,0,0,1,0,1.4,1.4,1.2,2.5,11,9,34,0.89,0.22,1.11,0.89,1.11,0.30,0.26,0.56,0.30,0.56,Matches
Giovanni Simeone,Torino,2023-2024,28,Napoli,it ITA,1. Serie A,10th,28,8,800,8.9,1,0,1,1,0,0,3,0,3.4,3.4,0.6,3.9,11,13,76,0.11,0.00,0.11,0.11,0.11,0.38,0.06,0.44,0.38,0.44,Matches
Giovanni Simeone,Torino,2024-2025,29,Napoli,it ITA,1. Serie A,1st,30,1,419,4.7,1,1,2,1,0,0,1,0,2.6,2.6,0.8,3.4,11,7,30,0.21,0.21,0.43,0.21,0.43,0.56,0.17,0.73,0.56,0.73,Matches
Giovanni Simeone,Torino,2025-2026,30,Torino,it ITA,1. Serie A,20th,1,1,63,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,4,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.60,Matches
Giovanni Simeone,Torino,12 Seasons,12 Seasons,8 Clubs,,2 Leagues,,340,218,19838,220.4,85,21,106,84,1,3,28,0,63.0,62.2,14.6,76.8,235,161,1093,0.39,0.10,0.48,0.38,0.48,0.39,0.09,0.48,0.39,0.48,
Giovanni Simeone,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovanni Simeone,Torino,Napoli (3 Seasons),Napoli (3 Seasons),Napoli (3 Seasons),,1 League,,83,10,1625,18.1,6,2,8,6,0,0,5,0,7.3,7.3,2.5,9.8,33,29,140,0.33,0.11,0.44,0.33,0.44,0.40,0.14,0.54,0.40,0.54,
Giovanni Simeone,Torino,Fiorentina (3 Seasons),Fiorentina (3 Seasons),Fiorentina (3 Seasons),,1 League,,74,63,5452,60.6,20,7,27,20,0,0,5,0,25.5,25.5,5.2,30.7,96,58,418,0.33,0.12,0.45,0.33,0.45,0.42,0.09,0.51,0.42,0.51,
Giovanni Simeone,Torino,Cagliari (3 Seasons),Cagliari (3 Seasons),Cagliari (3 Seasons),,1 League,,71,53,4671,51.9,18,5,23,18,0,0,5,0,19.5,19.5,3.7,23.2,66,33,272,0.35,0.10,0.44,0.35,0.44,0.38,0.07,0.45,0.38,0.45,
Giovanni Simeone,Torino,Banfield (2 Seasons),Banfield (2 Seasons),Banfield (2 Seasons),,1 League,,31,29,2503,27.8,12,1,13,12,0,0,2,0,,,,,,,,0.43,0.04,0.47,0.43,0.47,,,,,,
Giovanni Simeone,Torino,River Plate (2 Seasons),River Plate (2 Seasons),River Plate (2 Seasons),,1 League,,10,1,257,2.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Giovanni Simeone,Torino,Hellas Verona (1 Season),Hellas Verona (1 Season),Hellas Verona (1 Season),,1 League,,35,32,2653,29.5,17,5,22,17,0,1,8,0,10.3,9.5,3.2,12.7,40,40,259,0.58,0.17,0.75,0.58,0.75,0.35,0.11,0.46,0.32,0.43,
Giovanni Simeone,Torino,Genoa (1 Season),Genoa (1 Season),Genoa (1 Season),,1 League,,35,29,2614,29.0,12,1,13,11,1,2,3,0,,,,,,,,0.41,0.03,0.45,0.38,0.41,,,,,,
Giovanni Simeone,Torino,Torino (1 Season),Torino (1 Season),Torino (1 Season),,1 League,,1,1,63,0.7,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,4,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.60,
