Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Ilić,Torino,2018-2019,17,Zemun,rs SRB,1. SuperLiga,15th,16,13,1177,13.1,3,0,3,3,0,0,3,0,,,,,,,,0.23,0.00,0.23,0.23,0.23,,,,,,Matches
Ivan Ilić,Torino,2019-2020,18,NAC Breda,nl NED,2. Eerste Divisie,5th,21,20,1621,18.0,3,0,3,2,1,1,6,0,,,,,,,,0.17,0.00,0.17,0.11,0.11,,,,,,Matches
Ivan Ilić,Torino,2020-2021,19,Hellas Verona,it ITA,1. Serie A,10th,29,19,1835,20.4,2,0,2,2,0,0,2,0,1.6,1.6,0.9,2.6,38,134,31,0.10,0.00,0.10,0.10,0.10,0.08,0.05,0.13,0.08,0.13,Matches
Ivan Ilić,Torino,2021-2022,20,Hellas Verona,it ITA,1. Serie A,9th,32,30,2526,28.1,1,3,4,1,0,0,5,1,2.4,2.4,1.8,4.2,39,134,67,0.04,0.11,0.14,0.04,0.14,0.09,0.06,0.15,0.09,0.15,Matches
Ivan Ilić,Torino,2022-2023,21,Hellas Verona,it ITA,1. Serie A,18th,11,10,851,9.5,0,1,1,0,0,0,1,0,0.4,0.4,1.0,1.4,18,39,20,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14,Matches
Ivan Ilić,Torino,2022-2023,21,Torino,it ITA,1. Serie A,10th,14,13,1177,13.1,2,2,4,2,0,0,3,0,0.2,0.2,1.1,1.3,29,66,28,0.15,0.15,0.31,0.15,0.31,0.02,0.08,0.10,0.02,0.10,Matches
Ivan Ilić,Torino,2023-2024,22,Torino,it ITA,1. Serie A,9th,31,25,2098,23.3,3,2,5,3,0,0,3,0,2.1,2.1,5.0,7.1,49,138,52,0.13,0.09,0.21,0.13,0.21,0.09,0.21,0.30,0.09,0.30,Matches
Ivan Ilić,Torino,2024-2025,23,Torino,it ITA,1. Serie A,11th,19,9,920,10.2,1,0,1,1,0,0,4,0,0.9,0.9,1.1,2.1,24,45,41,0.10,0.00,0.10,0.10,0.10,0.09,0.11,0.20,0.09,0.20,Matches
Ivan Ilić,Torino,2025-2026,24,Torino,it ITA,1. Serie A,20th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ivan Ilić,Torino,8 Seasons,8 Seasons,4 Clubs,,3 Leagues,,173,139,12205,135.6,15,8,23,14,1,1,27,1,7.7,7.7,10.9,18.6,197,556,239,0.11,0.06,0.17,0.10,0.16,0.07,0.10,0.18,0.07,0.18,
Ivan Ilić,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ivan Ilić,Torino,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,64,47,4195,46.6,6,4,10,6,0,0,10,0,3.3,3.3,7.1,10.4,102,249,121,0.13,0.09,0.21,0.13,0.21,0.07,0.15,0.22,0.07,0.22,
Ivan Ilić,Torino,Hellas Verona (3 Seasons),Hellas Verona (3 Seasons),Hellas Verona (3 Seasons),,1 League,,72,59,5212,57.9,3,4,7,3,0,0,8,1,4.4,4.4,3.7,8.2,95,307,118,0.05,0.07,0.12,0.05,0.12,0.08,0.06,0.14,0.08,0.14,
Ivan Ilić,Torino,NAC Breda (1 Season),NAC Breda (1 Season),NAC Breda (1 Season),,1 League,,21,20,1621,18.0,3,0,3,2,1,1,6,0,,,,,,,,0.17,0.00,0.17,0.11,0.11,,,,,,
Ivan Ilić,Torino,Zemun (1 Season),Zemun (1 Season),Zemun (1 Season),,1 League,,16,13,1177,13.1,3,0,3,3,0,0,3,0,,,,,,,,0.23,0.00,0.23,0.23,0.23,,,,,,
Ivan Ilić,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Ilić,Torino,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,136,106,9407,104.5,9,8,17,9,0,0,18,1,7.7,7.7,10.9,18.6,197,556,239,0.09,0.08,0.16,0.09,0.16,0.07,0.10,0.18,0.07,0.18,
Ivan Ilić,Torino,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,21,20,1621,18.0,3,0,3,2,1,1,6,0,,,,,,,,0.17,0.00,0.17,0.11,0.11,,,,,,
Ivan Ilić,Torino,SuperLiga (1 Season),SuperLiga (1 Season),SuperLiga (1 Season),,,,16,13,1177,13.1,3,0,3,3,0,0,3,0,,,,,,,,0.23,0.00,0.23,0.23,0.23,,,,,,
