Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcus Pedersen,Torino,2018,17,Tromsø,no NOR,1. Eliteserien,10th,3,0,17,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marcus Pedersen,Torino,2019,18,Tromsø,no NOR,1. Eliteserien,15th,17,4,609,6.8,0,1,1,0,0,0,0,1,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,Matches
Marcus Pedersen,Torino,2020,19,Molde,no NOR,1. Eliteserien,2nd,21,18,1549,17.2,2,1,3,2,0,0,2,0,,,,,,,,0.12,0.06,0.17,0.12,0.17,,,,,,Matches
Marcus Pedersen,Torino,2021,20,Molde,no NOR,1. Eliteserien,2nd,7,5,478,5.3,0,2,2,0,0,0,2,0,,,,,,,,0.00,0.38,0.38,0.00,0.38,,,,,,Matches
Marcus Pedersen,Torino,2021-2022,21,Feyenoord,nl NED,1. Eredivisie,3rd,30,22,1984,22.0,0,4,4,0,0,0,1,0,1.1,1.1,2.1,3.2,104,52,180,0.00,0.18,0.18,0.00,0.18,0.05,0.10,0.15,0.05,0.15,Matches
Marcus Pedersen,Torino,2022-2023,22,Feyenoord,nl NED,1. Eredivisie,1st,29,25,2117,23.5,1,2,3,1,0,0,3,0,1.5,1.5,2.3,3.9,114,54,141,0.04,0.09,0.13,0.04,0.13,0.07,0.10,0.16,0.07,0.16,Matches
Marcus Pedersen,Torino,2023-2024,23,Sassuolo,it ITA,1. Serie A,19th,28,16,1613,17.9,0,2,2,0,0,0,4,0,0.1,0.1,1.1,1.2,43,31,90,0.00,0.11,0.11,0.00,0.11,0.01,0.06,0.06,0.01,0.06,Matches
Marcus Pedersen,Torino,2023-2024,23,Feyenoord,nl NED,1. Eredivisie,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcus Pedersen,Torino,2024-2025,24,Feyenoord,nl NED,1. Eredivisie,3rd,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marcus Pedersen,Torino,2024-2025,24,Torino,it ITA,1. Serie A,11th,29,15,1362,15.1,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.0,44,19,77,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06,Matches
Marcus Pedersen,Torino,2025-2026,25,Torino,it ITA,1. Serie A,20th,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marcus Pedersen,Torino,8 Seasons,8 Seasons,5 Clubs,,3 Leagues,,166,105,9752,108.4,3,12,15,3,0,0,15,1,3.3,3.3,5.9,9.2,308,158,495,0.03,0.11,0.14,0.03,0.14,0.04,0.08,0.12,0.04,0.12,
Marcus Pedersen,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marcus Pedersen,Torino,Feyenoord (4 Seasons),Feyenoord (4 Seasons),Feyenoord (4 Seasons),,1 League,,60,47,4113,45.7,1,6,7,1,0,0,4,0,2.7,2.7,4.4,7.1,219,108,324,0.02,0.13,0.15,0.02,0.15,0.06,0.10,0.16,0.06,0.16,
Marcus Pedersen,Torino,Torino (2 Seasons),Torino (2 Seasons),Torino (2 Seasons),,1 League,,30,15,1373,15.3,0,0,0,0,0,0,3,0,0.6,0.6,0.4,1.0,46,19,81,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.06,0.04,0.06,
Marcus Pedersen,Torino,Molde (2 Seasons),Molde (2 Seasons),Molde (2 Seasons),,1 League,,28,23,2027,22.5,2,3,5,2,0,0,4,0,,,,,,,,0.09,0.13,0.22,0.09,0.22,,,,,,
Marcus Pedersen,Torino,Tromsø (2 Seasons),Tromsø (2 Seasons),Tromsø (2 Seasons),,1 League,,20,4,626,7.0,0,1,1,0,0,0,0,1,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,
Marcus Pedersen,Torino,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,28,16,1613,17.9,0,2,2,0,0,0,4,0,0.1,0.1,1.1,1.2,43,31,90,0.00,0.11,0.11,0.00,0.11,0.01,0.06,0.06,0.01,0.06,
Marcus Pedersen,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Pedersen,Torino,Eredivisie (4 Seasons),Eredivisie (4 Seasons),Eredivisie (4 Seasons),,,,60,47,4113,45.7,1,6,7,1,0,0,4,0,2.7,2.7,4.4,7.1,219,108,324,0.02,0.13,0.15,0.02,0.15,0.06,0.10,0.16,0.06,0.16,
Marcus Pedersen,Torino,Eliteserien (4 Seasons),Eliteserien (4 Seasons),Eliteserien (4 Seasons),,,,48,27,2653,29.5,2,4,6,2,0,0,4,1,,,,,,,,0.07,0.14,0.20,0.07,0.20,,,,,,
Marcus Pedersen,Torino,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,58,31,2986,33.2,0,2,2,0,0,0,7,0,0.7,0.7,1.5,2.1,89,50,171,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.06,0.02,0.06,
