Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Saúl Coco,Torino,2020-2021,21,Las Palmas,es ESP,2. La Liga 2,9th,2,0,56,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Saúl Coco,Torino,2021-2022,22,Las Palmas,es ESP,2. La Liga 2,4th,11,9,784,8.7,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Saúl Coco,Torino,2022-2023,23,Las Palmas,es ESP,2. La Liga 2,2nd,36,34,2984,33.2,1,0,1,1,0,0,8,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,Matches
Saúl Coco,Torino,2023-2024,24,Las Palmas,es ESP,1. La Liga,16th,30,26,2295,25.5,1,0,1,1,0,0,6,1,1.1,1.1,0.0,1.1,9,69,1,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches
Saúl Coco,Torino,2024-2025,25,Torino,it ITA,1. Serie A,11th,32,32,2845,31.6,2,0,2,2,0,0,10,0,1.2,1.2,0.0,1.2,17,70,3,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04,Matches
Saúl Coco,Torino,2025-2026,26,Torino,it ITA,1. Serie A,20th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Saúl Coco,Torino,6 Seasons,6 Seasons,2 Clubs,,3 Leagues,,112,102,9054,100.6,4,0,4,4,0,0,28,1,2.2,2.2,0.0,2.2,26,143,4,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,
Saúl Coco,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Saúl Coco,Torino,Las Palmas (4 Seasons),Las Palmas (4 Seasons),Las Palmas (4 Seasons),,2 Leagues,,79,69,6119,68.0,2,0,2,2,0,0,18,1,1.1,1.1,0.0,1.1,9,69,1,0.03,0.00,0.03,0.03,0.03,0.04,0.00,0.04,0.04,0.04,
Saúl Coco,Torino,Torino (2 Seasons),Torino (2 Seasons),Torino (2 Seasons),,1 League,,33,33,2935,32.6,2,0,2,2,0,0,10,0,1.2,1.2,0.0,1.2,17,74,3,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04,
Saúl Coco,Torino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saúl Coco,Torino,La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,49,43,3824,42.5,1,0,1,1,0,0,12,0,,,,,,,,0.02,0.00,0.02,0.02,0.02,,,,,,
Saúl Coco,Torino,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,33,33,2935,32.6,2,0,2,2,0,0,10,0,1.2,1.2,0.0,1.2,17,74,3,0.06,0.00,0.06,0.06,0.06,0.04,0.00,0.04,0.04,0.04,
Saúl Coco,Torino,La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,30,26,2295,25.5,1,0,1,1,0,0,6,1,1.1,1.1,0.0,1.1,9,69,1,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,
