Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Zakaria Aboukhlal,Torino,2018-2019,18,Jong PSV,nl NED,2. Eerste Divisie,3rd,24,23,1974,21.9,10,4,14,9,1,1,2,0,,,,,,,,0.46,0.18,0.64,0.41,0.59,,,,,,Matches
Zakaria Aboukhlal,Torino,2018-2019,18,PSV Eindhoven,nl NED,1. Eredivisie,2nd,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches
Zakaria Aboukhlal,Torino,2019-2020,19,Jong PSV,nl NED,2. Eerste Divisie,18th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Zakaria Aboukhlal,Torino,2019-2020,19,PSV Eindhoven,nl NED,1. Eredivisie,4th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Zakaria Aboukhlal,Torino,2019-2020,19,AZ Alkmaar,nl NED,1. Eredivisie,2nd,12,0,200,2.2,0,0,0,0,0,0,0,0,1.5,1.5,0.0,1.5,10,2,37,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.66,0.66,Matches
Zakaria Aboukhlal,Torino,2019-2020,19,Jong AZ,nl NED,2. Eerste Divisie,14th,10,10,853,9.5,8,0,8,7,1,1,1,0,,,,,,,,0.84,0.00,0.84,0.74,0.74,,,,,,Matches
Zakaria Aboukhlal,Torino,2020-2021,20,AZ Alkmaar,nl NED,1. Eredivisie,3rd,24,6,742,8.2,4,0,4,4,0,0,2,0,3.3,3.3,0.7,4.0,23,14,70,0.49,0.00,0.49,0.49,0.49,0.40,0.08,0.48,0.40,0.48,Matches
Zakaria Aboukhlal,Torino,2020-2021,20,Jong AZ,nl NED,2. Eerste Divisie,17th,8,8,649,7.2,5,4,9,5,0,0,2,0,,,,,,,,0.69,0.55,1.25,0.69,1.25,,,,,,Matches
Zakaria Aboukhlal,Torino,2021-2022,21,AZ Alkmaar,nl NED,1. Eredivisie,5th,31,5,815,9.1,4,1,5,4,0,0,1,0,4.6,4.6,1.0,5.5,27,27,106,0.44,0.11,0.55,0.44,0.55,0.50,0.11,0.61,0.50,0.61,Matches
Zakaria Aboukhlal,Torino,2021-2022,21,Jong AZ,nl NED,2. Eerste Divisie,13th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Zakaria Aboukhlal,Torino,2022-2023,22,Toulouse,fr FRA,1. Ligue 1,13th,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54,Matches
Zakaria Aboukhlal,Torino,2023-2024,23,Toulouse,fr FRA,1. Ligue 1,11th,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.36,0.00,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,Matches
Zakaria Aboukhlal,Torino,2024-2025,24,Toulouse,fr FRA,1. Ligue 1,10th,26,22,1901,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,Matches
Zakaria Aboukhlal,Torino,2025-2026,25,Torino,it ITA,1. Serie A,20th,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Zakaria Aboukhlal,Torino,8 Seasons,8 Seasons,6 Clubs,,4 Leagues,,190,113,10586,117.6,51,16,67,47,4,5,18,0,33.9,31.5,6.7,38.2,219,159,731,0.43,0.14,0.57,0.40,0.54,0.44,0.09,0.53,0.41,0.50,
Zakaria Aboukhlal,Torino,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Zakaria Aboukhlal,Torino,Toulouse (3 Seasons),Toulouse (3 Seasons),Toulouse (3 Seasons),,1 League,,76,59,5128,57.0,20,7,27,18,2,3,10,0,24.5,22.1,5.0,27.1,157,114,515,0.35,0.12,0.47,0.32,0.44,0.43,0.09,0.52,0.39,0.48,
