Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Padelli,Udinese,2006-2007,20,Liverpool,eng ENG,1. Premier League,3rd,1,1,90,1.0,0,0,0,,,,0,0,,,,,,,,0.00,0.00,0.00,,,,,,,,Matches
Daniele Padelli,Udinese,2006-2007,20,Crotone,it ITA,2. Serie B,21st,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2007-2008,21,Pisa,it ITA,2. Serie B,6th,7,6,583,6.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,2008-2009,22,Avellino,it ITA,2. Serie B,21st,15,14,1308,14.5,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,2009-2010,23,Bari,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2010-2011,24,Bari,it ITA,1. Serie A,20th,2,2,180,2.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Padelli,Udinese,2012-2013,26,Udinese,it ITA,1. Serie A,5th,9,7,758,8.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2013-2014,27,Torino,it ITA,1. Serie A,7th,38,38,3380,37.6,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2014-2015,28,Torino,it ITA,1. Serie A,9th,25,25,2250,25.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2015-2016,29,Torino,it ITA,1. Serie A,12th,35,35,3150,35.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2016-2017,30,Torino,it ITA,1. Serie A,9th,2,2,180,2.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Daniele Padelli,Udinese,2017-2018,31,Inter,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Padelli,Udinese,2018-2019,32,Inter,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Padelli,Udinese,2019-2020,33,Inter,it ITA,1. Serie A,2nd,3,3,270,3.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Padelli,Udinese,2020-2021,34,Inter,it ITA,1. Serie A,1st,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Padelli,Udinese,2021-2022,35,Udinese,it ITA,1. Serie A,12th,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Padelli,Udinese,2022-2023,36,Udinese,it ITA,1. Serie A,12th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Padelli,Udinese,2023-2024,37,Udinese,it ITA,1. Serie A,15th,0,0,,0.0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,Matches
Daniele Padelli,Udinese,2024-2025,38,Udinese,it ITA,1. Serie A,12th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniele Padelli,Udinese,2025-2026,39,Udinese,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Padelli,Udinese,19 Seasons,19 Seasons,8 Clubs,,3 Leagues,,144,139,12734,141.5,0,0,0,0,0,0,16,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Padelli,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Daniele Padelli,Udinese,Udinese (6 Seasons),Udinese (6 Seasons),Udinese (6 Seasons),,1 League,,13,11,1118,12.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Padelli,Udinese,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,100,100,8960,99.6,0,0,0,0,0,0,10,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,Inter (4 Seasons),Inter (4 Seasons),Inter (4 Seasons),,1 League,,4,3,315,3.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Padelli,Udinese,Bari (2 Seasons),Bari (2 Seasons),Bari (2 Seasons),,1 League,,3,3,270,3.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,Avellino (1 Season),Avellino (1 Season),Avellino (1 Season),,1 League,,15,14,1308,14.5,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,Pisa (1 Season),Pisa (1 Season),Pisa (1 Season),,1 League,,7,6,583,6.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,Crotone (1 Season),Crotone (1 Season),Crotone (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,Liverpool (1 Season),Liverpool (1 Season),Liverpool (1 Season),,1 League,,1,1,90,1.0,0,0,0,,,,0,0,,,,,,,,0.00,0.00,0.00,,,,,,,,
Daniele Padelli,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Padelli,Udinese,Serie A (16 Seasons),Serie A (16 Seasons),Serie A (16 Seasons),,,,120,117,10663,118.5,0,0,0,0,0,0,12,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Daniele Padelli,Udinese,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,23,21,1981,22.0,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Daniele Padelli,Udinese,Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,1,1,90,1.0,0,0,0,,,,0,0,,,,,,,,0.00,0.00,0.00,,,,,,,,
