Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jesper Karlström,Udinese,2013,17,Brommapojkarna,se SWE,1. Allsvenskan,13th,14,13,1134,12.6,0,2,2,0,0,0,2,0,,,,,,,,0.00,0.16,0.16,0.00,0.16,,,,,,
Jesper Karlström,Udinese,2014,18,Brommapojkarna,se SWE,1. Allsvenskan,16th,27,27,2278,25.3,3,2,5,3,0,0,5,0,,,,,,,,0.12,0.08,0.20,0.12,0.20,,,,,,Matches
Jesper Karlström,Udinese,2015,19,Djurgården,se SWE,1. Allsvenskan,6th,26,13,1386,15.4,1,1,2,1,0,0,0,0,,,,,,,,0.06,0.06,0.13,0.06,0.13,,,,,,Matches
Jesper Karlström,Udinese,2016,20,Djurgården,se SWE,1. Allsvenskan,7th,16,11,957,10.6,1,0,1,1,0,0,0,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches
Jesper Karlström,Udinese,2017,21,Brommapojkarna,se SWE,2. Superettan,1st,2,2,145,1.6,1,0,1,1,0,0,0,0,,,,,,,,0.62,0.00,0.62,0.62,0.62,,,,,,Matches
Jesper Karlström,Udinese,2017,21,Djurgården,se SWE,1. Allsvenskan,3rd,24,14,1255,13.9,3,1,4,3,0,0,2,0,,,,,,,,0.22,0.07,0.29,0.22,0.29,,,,,,Matches
Jesper Karlström,Udinese,2018,22,Djurgården,se SWE,1. Allsvenskan,7th,25,20,1731,19.2,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matches
Jesper Karlström,Udinese,2019,23,Djurgården,se SWE,1. Allsvenskan,1st,28,28,2483,27.6,2,3,5,2,0,0,9,0,,,,,,,,0.07,0.11,0.18,0.07,0.18,,,,,,Matches
Jesper Karlström,Udinese,2020,24,Djurgården,se SWE,1. Allsvenskan,4th,28,28,2458,27.3,1,1,2,1,0,0,10,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches
Jesper Karlström,Udinese,2020-2021,25,Lech Poznań,pl POL,1. Ekstraklasa,11th,16,15,1224,13.6,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Jesper Karlström,Udinese,2021-2022,26,Lech Poznań,pl POL,1. Ekstraklasa,1st,32,30,2507,27.9,1,1,2,1,0,0,5,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,Matches
Jesper Karlström,Udinese,2022-2023,27,Lech Poznań,pl POL,1. Ekstraklasa,3rd,31,27,2279,25.3,1,1,2,1,0,0,6,0,,,,,,,,0.04,0.04,0.08,0.04,0.08,,,,,,Matches
Jesper Karlström,Udinese,2023-2024,28,Lech Poznań,pl POL,1. Ekstraklasa,5th,30,27,2372,26.4,2,3,5,2,0,0,8,1,,,,,,,,0.08,0.11,0.19,0.08,0.19,,,,,,Matches
Jesper Karlström,Udinese,2024-2025,29,Lech Poznań,pl POL,1. Ekstraklasa,1st,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jesper Karlström,Udinese,2024-2025,29,Udinese,it ITA,1. Serie A,12th,37,36,3186,35.4,0,3,3,0,0,0,9,0,0.7,0.7,1.1,1.8,23,135,46,0.00,0.08,0.08,0.00,0.08,0.02,0.03,0.05,0.02,0.05,Matches
Jesper Karlström,Udinese,2025-2026,30,Udinese,it ITA,1. Serie A,8th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jesper Karlström,Udinese,13 Seasons,13 Seasons,4 Clubs,,4 Leagues,,339,294,25665,285.2,16,20,36,16,0,0,62,1,0.7,0.7,1.1,1.8,25,140,47,0.06,0.07,0.13,0.06,0.13,0.02,0.03,0.05,0.02,0.05,
Jesper Karlström,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jesper Karlström,Udinese,Djurgården (6 Seasons),Djurgården (6 Seasons),Djurgården (6 Seasons),,1 League,,147,114,10270,114.1,8,7,15,8,0,0,24,0,,,,,,,,0.07,0.06,0.13,0.07,0.13,,,,,,
Jesper Karlström,Udinese,Lech Poznań (5 Seasons),Lech Poznań (5 Seasons),Lech Poznań (5 Seasons),,1 League,,111,101,8562,95.1,4,6,10,4,0,0,22,1,,,,,,,,0.04,0.06,0.11,0.04,0.11,,,,,,
Jesper Karlström,Udinese,Brommapojkarna (3 Seasons),Brommapojkarna (3 Seasons),Brommapojkarna (3 Seasons),,2 Leagues,,43,42,3557,39.5,4,4,8,4,0,0,7,0,,,,,,,,0.10,0.10,0.20,0.10,0.20,,,,,,
Jesper Karlström,Udinese,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,38,37,3276,36.4,0,3,3,0,0,0,9,0,0.7,0.7,1.1,1.8,25,140,47,0.00,0.08,0.08,0.00,0.08,0.02,0.03,0.05,0.02,0.05,
Jesper Karlström,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Karlström,Udinese,Allsvenskan (8 Seasons),Allsvenskan (8 Seasons),Allsvenskan (8 Seasons),,,,188,154,13682,152.0,11,11,22,11,0,0,31,0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,
Jesper Karlström,Udinese,Ekstraklasa (5 Seasons),Ekstraklasa (5 Seasons),Ekstraklasa (5 Seasons),,,,111,101,8562,95.1,4,6,10,4,0,0,22,1,,,,,,,,0.04,0.06,0.11,0.04,0.11,,,,,,
Jesper Karlström,Udinese,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,38,37,3276,36.4,0,3,3,0,0,0,9,0,0.7,0.7,1.1,1.8,25,140,47,0.00,0.08,0.08,0.00,0.08,0.02,0.03,0.05,0.02,0.05,
Jesper Karlström,Udinese,Superettan (1 Season),Superettan (1 Season),Superettan (1 Season),,,,2,2,145,1.6,1,0,1,1,0,0,0,0,,,,,,,,0.62,0.00,0.62,0.62,0.62,,,,,,
