Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jordan Zemura,Udinese,2020-2021,20,Bournemouth,eng ENG,2. Championship,6th,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Zemura,Udinese,2021-2022,21,Bournemouth,eng ENG,2. Championship,2nd,33,32,2912,32.4,3,1,4,3,0,0,6,0,1.9,1.9,3.4,5.2,118,184,146,0.09,0.03,0.12,0.09,0.12,0.06,0.10,0.16,0.06,0.16,Matches
Jordan Zemura,Udinese,2022-2023,22,Bournemouth,eng ENG,1. Premier League,15th,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48,0.00,0.06,0.06,0.00,0.06,0.02,0.11,0.14,0.02,0.14,Matches
Jordan Zemura,Udinese,2023-2024,23,Udinese,it ITA,1. Serie A,15th,27,10,1038,11.5,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,23,32,52,0.09,0.00,0.09,0.09,0.09,0.07,0.03,0.10,0.07,0.10,Matches
Jordan Zemura,Udinese,2024-2025,24,Udinese,it ITA,1. Serie A,12th,23,13,1415,15.7,1,2,3,1,0,0,2,0,1.0,1.0,1.0,2.0,25,42,76,0.06,0.13,0.19,0.06,0.19,0.07,0.06,0.13,0.07,0.13,Matches
Jordan Zemura,Udinese,2025-2026,25,Udinese,it ITA,1. Serie A,8th,1,1,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,7,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
Jordan Zemura,Udinese,6 Seasons,6 Seasons,2 Clubs,,3 Leagues,,105,73,6902,76.7,5,4,9,5,0,0,10,0,4.2,4.2,6.6,10.8,206,304,329,0.07,0.05,0.12,0.07,0.12,0.05,0.09,0.14,0.05,0.14,
Jordan Zemura,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jordan Zemura,Udinese,Bournemouth (3 Seasons),Bournemouth (3 Seasons),Bournemouth (3 Seasons),,2 Leagues,,54,49,4371,48.6,3,2,5,3,0,0,7,0,2.2,2.2,5.2,7.5,157,229,194,0.06,0.04,0.10,0.06,0.10,0.05,0.11,0.15,0.05,0.15,
Jordan Zemura,Udinese,Udinese (3 Seasons),Udinese (3 Seasons),Udinese (3 Seasons),,1 League,,51,24,2531,28.1,2,2,4,2,0,0,3,0,1.9,1.9,1.4,3.3,49,75,135,0.07,0.07,0.14,0.07,0.14,0.07,0.05,0.12,0.07,0.12,
Jordan Zemura,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Zemura,Udinese,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,51,24,2531,28.1,2,2,4,2,0,0,3,0,1.9,1.9,1.4,3.3,49,75,135,0.07,0.07,0.14,0.07,0.14,0.07,0.05,0.12,0.07,0.12,
Jordan Zemura,Udinese,Championship (2 Seasons),Championship (2 Seasons),Championship (2 Seasons),,,,35,32,2917,32.4,3,1,4,3,0,0,6,0,1.9,1.9,3.4,5.2,118,184,146,0.09,0.03,0.12,0.09,0.12,0.06,0.10,0.16,0.06,0.16,
Jordan Zemura,Udinese,Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48,0.00,0.06,0.06,0.00,0.06,0.02,0.11,0.14,0.02,0.14,
