Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jurgen Ekkelenkamp,Udinese,2017-2018,17,Ajax,nl NED,1. Eredivisie,2nd,3,0,13,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,2017-2018,17,Jong Ajax,nl NED,2. Eerste Divisie,1st,1,1,75,0.8,1,0,1,1,0,0,0,0,,,,,,,,1.20,0.00,1.20,1.20,1.20,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,2018-2019,18,Ajax,nl NED,1. Eredivisie,1st,3,0,93,1.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,5,12,4,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,Matches
Jurgen Ekkelenkamp,Udinese,2018-2019,18,Jong Ajax,nl NED,2. Eerste Divisie,11th,21,18,1481,16.5,5,0,5,5,0,0,1,0,,,,,,,,0.30,0.00,0.30,0.30,0.30,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,2019-2020,19,Ajax,nl NED,1. Eredivisie,1st,4,1,133,1.5,1,1,2,1,0,0,0,0,1.4,1.4,0.5,1.9,3,4,8,0.68,0.68,1.35,0.68,1.35,0.94,0.32,1.26,0.94,1.26,Matches
Jurgen Ekkelenkamp,Udinese,2019-2020,19,Jong Ajax,nl NED,2. Eerste Divisie,4th,21,21,1840,20.4,11,3,14,11,0,0,3,0,,,,,,,,0.54,0.15,0.68,0.54,0.68,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,2020-2021,20,Jong Ajax,nl NED,2. Eerste Divisie,16th,6,6,419,4.7,1,0,1,1,0,0,0,0,,,,,,,,0.21,0.00,0.21,0.21,0.21,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,2020-2021,20,Ajax,nl NED,1. Eredivisie,1st,15,4,657,7.3,3,2,5,3,0,0,0,0,5.9,5.9,2.4,8.3,10,29,36,0.41,0.27,0.68,0.41,0.68,0.81,0.33,1.14,0.81,1.14,Matches
Jurgen Ekkelenkamp,Udinese,2021-2022,21,Ajax,nl NED,1. Eredivisie,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,2021-2022,21,Hertha BSC,de GER,1. Bundesliga,16th,21,6,718,8.0,3,0,3,3,0,0,1,0,1.5,1.5,0.4,1.9,9,24,48,0.38,0.00,0.38,0.38,0.38,0.19,0.05,0.24,0.19,0.24,Matches
Jurgen Ekkelenkamp,Udinese,2022-2023,22,Antwerp,be BEL,1. Pro League A,1st,27,22,1876,20.8,5,7,12,5,0,0,4,0,5.5,5.5,3.2,8.8,27,93,105,0.24,0.34,0.58,0.24,0.58,0.27,0.16,0.42,0.27,0.42,Matches
Jurgen Ekkelenkamp,Udinese,2023-2024,23,Antwerp,be BEL,1. Pro League A,6th,29,27,2112,23.5,5,1,6,5,0,0,3,0,6.9,6.9,2.7,9.7,31,109,101,0.21,0.04,0.26,0.21,0.26,0.29,0.12,0.41,0.29,0.41,Matches
Jurgen Ekkelenkamp,Udinese,2024-2025,24,Antwerp,be BEL,1. Pro League A,5th,1,1,66,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,3,4,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches
Jurgen Ekkelenkamp,Udinese,2024-2025,24,Udinese,it ITA,1. Serie A,12th,34,20,1892,21.0,3,2,5,3,0,0,2,0,2.8,2.8,1.3,4.1,34,72,86,0.14,0.10,0.24,0.14,0.24,0.13,0.06,0.19,0.13,0.19,Matches
Jurgen Ekkelenkamp,Udinese,2025-2026,25,Udinese,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jurgen Ekkelenkamp,Udinese,9 Seasons,9 Seasons,5 Clubs,,5 Leagues,,186,127,11375,126.4,38,16,54,38,0,0,15,0,24.7,24.7,10.6,35.3,120,346,392,0.30,0.13,0.43,0.30,0.43,0.29,0.13,0.42,0.29,0.42,
Jurgen Ekkelenkamp,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
