Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Keinan Davis,Udinese,2015-2016,17,Aston Villa,eng ENG,1. Premier League,20th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Keinan Davis,Udinese,2016-2017,18,Aston Villa,eng ENG,2. Championship,13th,6,0,64,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Keinan Davis,Udinese,2017-2018,19,Aston Villa,eng ENG,Jr. PL2 — Div. 2,2nd,1,1,56,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Keinan Davis,Udinese,2017-2018,19,Aston Villa,eng ENG,2. Championship,4th,28,17,1497,16.6,2,1,3,2,0,0,1,0,,,,,,,,0.12,0.06,0.18,0.12,0.18,,,,,,Matches
Keinan Davis,Udinese,2018-2019,20,Aston Villa,eng ENG,Jr. PL2 — Div. 2,5th,2,2,90,1.0,1,0,1,1,0,0,0,0,,,,,,,,1.00,0.00,1.00,1.00,1.00,,,,,,Matches
Keinan Davis,Udinese,2018-2019,20,Aston Villa,eng ENG,2. Championship,5th,5,0,100,1.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.6,6,2,9,0.00,0.00,0.00,0.00,0.00,0.42,0.15,0.56,0.42,0.56,Matches
Keinan Davis,Udinese,2019-2020,21,Aston Villa,eng ENG,Jr. PL2 — Div. 2,7th,1,1,26,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Keinan Davis,Udinese,2019-2020,21,Aston Villa,eng ENG,1. Premier League,17th,18,4,548,6.1,0,0,0,0,0,0,0,0,2.7,2.7,0.2,2.9,19,9,50,0.00,0.00,0.00,0.00,0.00,0.44,0.03,0.47,0.44,0.47,Matches
Keinan Davis,Udinese,2020-2021,22,Aston Villa,eng ENG,1. Premier League,11th,15,1,277,3.1,1,1,2,1,0,0,0,0,1.5,1.5,0.6,2.1,7,6,37,0.32,0.32,0.65,0.32,0.65,0.47,0.19,0.67,0.47,0.67,Matches
Keinan Davis,Udinese,2021-2022,23,Aston Villa,eng ENG,1. Premier League,14th,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Keinan Davis,Udinese,2021-2022,23,Aston Villa,eng ENG,Jr. PL2 — Div. 2,10th,2,2,165,1.8,2,0,2,2,0,0,0,0,,,,,,,,1.09,0.00,1.09,1.09,1.09,,,,,,Matches
Keinan Davis,Udinese,2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,15,14,1061,11.8,5,2,7,5,0,0,5,0,3.3,3.3,3.4,6.6,39,25,77,0.42,0.17,0.59,0.42,0.59,0.28,0.29,0.57,0.28,0.57,Matches
Keinan Davis,Udinese,2022-2023,24,Watford,eng ENG,2. Championship,11th,34,27,2393,26.6,7,2,9,7,0,0,6,0,7.0,7.0,2.9,9.9,60,60,178,0.26,0.08,0.34,0.26,0.34,0.26,0.11,0.37,0.26,0.37,Matches
Keinan Davis,Udinese,2023-2024,25,Udinese,it ITA,1. Serie A,15th,8,0,186,2.1,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,2,6,15,0.48,0.00,0.48,0.48,0.48,0.24,0.04,0.28,0.24,0.28,Matches
Keinan Davis,Udinese,2024-2025,26,Udinese,it ITA,1. Serie A,12th,23,10,1066,11.8,2,1,3,2,0,0,2,0,2.9,2.9,2.1,5.0,26,22,77,0.17,0.08,0.25,0.17,0.25,0.24,0.18,0.42,0.24,0.42,Matches
Keinan Davis,Udinese,2025-2026,27,Udinese,it ITA,1. Serie A,8th,1,1,73,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,0,5,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.28,0.16,0.28,Matches
Keinan Davis,Udinese,11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,154,74,7277,80.9,18,7,25,18,0,0,18,0,18.4,18.4,9.5,27.9,159,130,449,0.22,0.09,0.31,0.22,0.31,0.29,0.15,0.44,0.29,0.44,
Keinan Davis,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Keinan Davis,Udinese,Aston Villa (7 Seasons),Aston Villa (7 Seasons),Aston Villa (7 Seasons),,2 Leagues,,73,22,2498,27.8,3,2,5,3,0,0,2,0,4.6,4.6,1.0,5.6,32,17,97,0.11,0.07,0.18,0.11,0.18,0.44,0.09,0.53,0.44,0.53,
Keinan Davis,Udinese,Aston Villa (4 Seasons),Aston Villa (4 Seasons),Aston Villa (4 Seasons),,1 League,,6,6,337,3.7,3,0,3,3,0,0,0,0,,,,,,,,0.80,0.00,0.80,0.80,0.80,,,,,,
Keinan Davis,Udinese,Udinese (3 Seasons),Udinese (3 Seasons),Udinese (3 Seasons),,1 League,,32,11,1325,14.7,3,1,4,3,0,0,5,0,3.5,3.5,2.3,5.8,28,28,97,0.20,0.07,0.27,0.20,0.27,0.24,0.16,0.39,0.24,0.39,
Keinan Davis,Udinese,Watford (1 Season),Watford (1 Season),Watford (1 Season),,1 League,,34,27,2393,26.6,7,2,9,7,0,0,6,0,7.0,7.0,2.9,9.9,60,60,178,0.26,0.08,0.34,0.26,0.34,0.26,0.11,0.37,0.26,0.37,
Keinan Davis,Udinese,Nott'ham Forest (1 Season),Nott'ham Forest (1 Season),Nott'ham Forest (1 Season),,1 League,,15,14,1061,11.8,5,2,7,5,0,0,5,0,3.3,3.3,3.4,6.6,39,25,77,0.42,0.17,0.59,0.42,0.59,0.28,0.29,0.57,0.28,0.57,
Keinan Davis,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keinan Davis,Udinese,Championship (5 Seasons),Championship (5 Seasons),Championship (5 Seasons),,,,88,58,5115,56.8,14,5,19,14,0,0,13,0,10.8,10.8,6.4,17.2,105,87,264,0.25,0.09,0.33,0.25,0.33,0.27,0.16,0.44,0.27,0.44,
Keinan Davis,Udinese,Premier League (4 Seasons),Premier League (4 Seasons),Premier League (4 Seasons),,,,34,5,837,9.3,1,1,2,1,0,0,0,0,4.1,4.1,0.8,4.9,26,15,88,0.11,0.11,0.22,0.11,0.22,0.45,0.08,0.53,0.45,0.53,
Keinan Davis,Udinese,PL2 — Div. 2 (4 Seasons),PL2 — Div. 2 (4 Seasons),PL2 — Div. 2 (4 Seasons),,,,6,6,337,3.7,3,0,3,3,0,0,0,0,,,,,,,,0.80,0.00,0.80,0.80,0.80,,,,,,
Keinan Davis,Udinese,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,32,11,1325,14.7,3,1,4,3,0,0,5,0,3.5,3.5,2.3,5.8,28,28,97,0.20,0.07,0.27,0.20,0.27,0.24,0.16,0.39,0.24,0.39,
