Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Lennon Miller,Udinese,2022-2023,15,Motherwell,sct SCO,1. Premiership,7th,4,1,106,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lennon Miller,Udinese,2023-2024,16,Motherwell,sct SCO,1. Premiership,9th,25,20,1762,19.6,0,2,2,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,Matches
Lennon Miller,Udinese,2024-2025,17,Motherwell,sct SCO,1. Premiership,8th,32,32,2798,31.1,2,8,10,1,1,1,5,0,0.06,0.26,0.32,0.03,0.29,Matches
Lennon Miller,Udinese,2025-2026,18,Udinese,it ITA,1. Serie A,8th,0,0,,,,,,,,,,,,,,,,Matches
Lennon Miller,Udinese,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,61,53,4666,51.8,2,10,12,1,1,1,9,1,0.04,0.19,0.23,0.02,0.21,
Lennon Miller,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Lennon Miller,Udinese,Motherwell (3 Seasons),Motherwell (3 Seasons),Motherwell (3 Seasons),,1 League,,61,53,4666,51.8,2,10,12,1,1,1,9,1,0.04,0.19,0.23,0.02,0.21,
Lennon Miller,Udinese,Udinese (1 Season),Udinese (1 Season),Udinese (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,
Lennon Miller,Udinese,,,,,,,,,,,,,,,,,,,,,,,,
Lennon Miller,Udinese,Premiership (3 Seasons),Premiership (3 Seasons),Premiership (3 Seasons),,,,61,53,4666,51.8,2,10,12,1,1,1,9,1,0.04,0.19,0.23,0.02,0.21,
Lennon Miller,Udinese,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
