Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Oier Zarraga,Udinese,2020-2021,21,Athletic Club,es ESP,1. La Liga,10th,5,1,100,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,5,5,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches
Oier Zarraga,Udinese,2021-2022,22,Athletic Club,es ESP,1. La Liga,8th,31,8,1166,13.0,1,0,1,0,1,1,5,0,1.3,0.5,0.2,0.7,24,74,37,0.08,0.00,0.08,0.00,0.00,0.10,0.01,0.12,0.04,0.05,Matches
Oier Zarraga,Udinese,2022-2023,23,Athletic Club,es ESP,1. La Liga,8th,26,6,852,9.5,0,0,0,0,0,0,5,0,1.3,1.3,1.1,2.4,12,37,32,0.00,0.00,0.00,0.00,0.00,0.13,0.12,0.25,0.13,0.25,Matches
Oier Zarraga,Udinese,2023-2024,24,Udinese,it ITA,1. Serie A,15th,15,4,404,4.5,2,0,2,2,0,0,0,0,0.6,0.6,0.0,0.6,5,8,10,0.45,0.00,0.45,0.45,0.45,0.13,0.01,0.14,0.13,0.14,Matches
Oier Zarraga,Udinese,2024-2025,25,Udinese,it ITA,1. Serie A,12th,22,9,896,10.0,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,7,28,23,0.10,0.00,0.10,0.10,0.10,0.04,0.04,0.08,0.04,0.08,Matches
Oier Zarraga,Udinese,2025-2026,26,Udinese,it ITA,1. Serie A,8th,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Oier Zarraga,Udinese,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,100,28,3448,38.3,4,0,4,3,1,1,10,0,3.6,2.8,1.8,4.6,50,152,108,0.10,0.00,0.10,0.08,0.08,0.09,0.05,0.14,0.07,0.12,
Oier Zarraga,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Oier Zarraga,Udinese,Athletic Club (3 Seasons),Athletic Club (3 Seasons),Athletic Club (3 Seasons),,1 League,,62,15,2118,23.5,1,0,1,0,1,1,10,0,2.6,1.8,1.4,3.2,37,116,74,0.04,0.00,0.04,0.00,0.00,0.11,0.06,0.17,0.08,0.14,
Oier Zarraga,Udinese,Udinese (3 Seasons),Udinese (3 Seasons),Udinese (3 Seasons),,1 League,,38,13,1330,14.8,3,0,3,3,0,0,0,0,1.0,1.0,0.4,1.4,13,36,34,0.20,0.00,0.20,0.20,0.20,0.07,0.03,0.10,0.07,0.10,
Oier Zarraga,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oier Zarraga,Udinese,La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,62,15,2118,23.5,1,0,1,0,1,1,10,0,2.6,1.8,1.4,3.2,37,116,74,0.04,0.00,0.04,0.00,0.00,0.11,0.06,0.17,0.08,0.14,
Oier Zarraga,Udinese,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,38,13,1330,14.8,3,0,3,3,0,0,0,0,1.0,1.0,0.4,1.4,13,36,34,0.20,0.00,0.20,0.20,0.20,0.07,0.03,0.10,0.07,0.10,
