Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Thomas Kristensen,Udinese,2020-2021,18,AGF,dk DEN,1. Danish Superliga,4th,2,1,91,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Thomas Kristensen,Udinese,2021-2022,19,AGF,dk DEN,1. Danish Superliga,10th,11,8,729,8.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Thomas Kristensen,Udinese,2022-2023,20,AGF,dk DEN,1. Danish Superliga,3rd,20,19,1635,18.2,1,0,1,1,0,0,3,0,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matches
Thomas Kristensen,Udinese,2023-2024,21,AGF,dk DEN,1. Danish Superliga,5th,6,6,526,5.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Thomas Kristensen,Udinese,2023-2024,21,Udinese,it ITA,1. Serie A,15th,26,23,2096,23.3,0,1,1,0,0,0,4,1,1.1,1.1,0.4,1.5,20,47,3,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.06,0.05,0.06,Matches
Thomas Kristensen,Udinese,2024-2025,22,Udinese,it ITA,1. Serie A,12th,24,19,1754,19.5,1,0,1,1,0,0,5,0,0.9,0.9,0.3,1.2,19,76,19,0.05,0.00,0.05,0.05,0.05,0.05,0.02,0.06,0.05,0.06,Matches
Thomas Kristensen,Udinese,2025-2026,23,Udinese,it ITA,1. Serie A,8th,1,1,90,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,4,0,1.00,0.00,1.00,1.00,1.00,0.24,0.00,0.25,0.24,0.25,Matches
Thomas Kristensen,Udinese,6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,90,77,6921,76.9,3,1,4,3,0,0,15,1,2.3,2.3,0.7,3.0,41,127,22,0.04,0.01,0.05,0.04,0.05,0.05,0.02,0.07,0.05,0.07,
Thomas Kristensen,Udinese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Thomas Kristensen,Udinese,AGF (4 Seasons),AGF (4 Seasons),AGF (4 Seasons),,1 League,,39,34,2981,33.1,1,0,1,1,0,0,6,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,
Thomas Kristensen,Udinese,Udinese (3 Seasons),Udinese (3 Seasons),Udinese (3 Seasons),,1 League,,51,43,3940,43.8,2,1,3,2,0,0,9,1,2.3,2.3,0.7,3.0,41,127,22,0.05,0.02,0.07,0.05,0.07,0.05,0.02,0.07,0.05,0.07,
Thomas Kristensen,Udinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kristensen,Udinese,Danish Superliga (4 Seasons),Danish Superliga (4 Seasons),Danish Superliga (4 Seasons),,,,39,34,2981,33.1,1,0,1,1,0,0,6,0,,,,,,,,0.03,0.00,0.03,0.03,0.03,,,,,,
Thomas Kristensen,Udinese,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,51,43,3940,43.8,2,1,3,2,0,0,9,1,2.3,2.3,0.7,3.0,41,127,22,0.05,0.02,0.07,0.05,0.07,0.05,0.02,0.07,0.05,0.07,
